VTuber ID,YouTube Subscriber Count,YouTube View Count,YouTube Recent Median View Count,YouTube Recent Popularity,YouTube Recent Highest View Count,YouTube Recent Highest Viewed Video URL,Twitch Follower Count,Twitch Recent Median View Count,Twitch Recent Popularity,Twitch Recent Highest View Count,Twitch Recent Highest Viewed Video URL
1c5619a4ece046dd8ba68ed343489ca3,424000,61939951,6163,3100,21456,https://www.youtube.com/watch?v=Q0lRWyEblyU,29664,1035,934,1446,https://www.twitch.tv/videos/1596257235
f6a4e7aa8d0c4e5cb39d199845ec4d02,403000,32830725,11776,4790,35445,https://www.youtube.com/watch?v=2NLBwV2iFf8,40558,7528,5970,10437,https://www.twitch.tv/videos/1597991428
664e1b310cf343b78623f99b31e40fae,398000,52941126,6829,1761,39436,https://www.youtube.com/watch?v=Dpw0rOA2hnY,13137,1173,869,1284,https://www.twitch.tv/videos/1589019106
4b6b055ada4d4f0ab63b7ad02a3fa3ef,205000,10690508,13022,5359,69726,https://www.youtube.com/watch?v=yoyrnKkvUt4,43646,4862,3405,11204,https://www.twitch.tv/videos/1588888657
5535c9524eb046c38e172ebfa06b302f,199000,33802257,19313,6679,145942,https://www.youtube.com/watch?v=cmQwn9fzTKs,34880,3552,2730,12786,https://www.twitch.tv/videos/1592370339
21428cae24af4607bffe25cb2746daa6,175000,0,0,0,0,,0,0,0,0,
7c06b9e316ce4ac18ce836cd72442bbe,143000,15473167,13595,3522,71592,https://www.youtube.com/watch?v=Y86spkx5xxc,29426,8363,6438,8363,https://www.twitch.tv/videos/1593430758
312fdd3c5e6d4aefa73fd3860ecc5613,113000,2010977,74398,38279,335644,https://www.youtube.com/watch?v=Z0RGp_u1dpw,0,0,0,0,
b126053a1356460ebf85a874a6a55aca,102000,27975843,5337,2463,10761,https://www.youtube.com/watch?v=8JRseC-Z5Ig,0,0,0,0,
a3ce195c0069494c99849d0b1a10a7fd,84000,4907873,4078,1629,62236,https://www.youtube.com/watch?v=261LUPtCD4c,0,0,0,0,
f1b5f88144e14bd188e17b2f98303713,69400,2742902,21694,8219,50116,https://www.youtube.com/watch?v=F8OCCzMe0KY,0,0,0,0,
494d2c5daf9f4a8a8e4538687e6be14c,67700,2648312,4942,2835,43053,https://www.youtube.com/watch?v=OcNSAhxDcC8,0,0,0,0,
98e3a5838fec4a6caa936ae35485de23,65900,2555449,4093,2124,8865,https://www.youtube.com/watch?v=SBgB5U8IYW0,0,0,0,0,
01f26342ae4e419280bcfd6ec6e86db1,65600,3296021,5826,2949,26920,https://www.youtube.com/watch?v=9-TXW7wKBHM,483,0,0,0,
2e01ec6b25684995ab109ac0f74f1456,62200,18539594,875,149,5354,https://www.youtube.com/watch?v=80jrsDBFleI,47833,738,647,2023,https://www.twitch.tv/videos/1587112248
e113ace92bbe445385bcc4635a9ca570,54900,2677638,4596,2364,7760,https://www.youtube.com/watch?v=2_9dPiDEWwQ,0,0,0,0,
512b64ec20174d018540516e9edf2b2f,54300,5011225,1131,515,3398,https://www.youtube.com/watch?v=874_VXzI950,1127,0,0,0,
0bf0ec441dc6489583f7218e02ab6a89,52400,6389536,1506,731,5834,https://www.youtube.com/watch?v=Bc_9TW_EtPk,1349,158,130,284,https://www.twitch.tv/videos/1593267802
a02bb0332f5942ec892c932d6a089014,51000,4610670,15252,6065,23401,https://www.youtube.com/watch?v=ItYPA2Pw8aY,0,0,0,0,
265a18972d244affae35711cfd1f9931,50500,2808276,5674,1964,24166,https://www.youtube.com/watch?v=k05QDaAfyLs,0,0,0,0,
f110fd69b66941bab04de9ada563c6ac,48400,2245281,5699,806,26475,https://www.youtube.com/watch?v=D2AkfeQ8mIU,1699,0,0,0,
5c4241def363418d9b7167d8369d0350,47800,1983104,1464,524,2354,https://www.youtube.com/watch?v=ozBqQai7q2o,41,0,0,0,
ea4c1a67c2e445ad8028768616ceb659,45100,2506000,5638,2883,16573,https://www.youtube.com/watch?v=9VdI4cxqqmk,0,0,0,0,
c41044006a014ed28107f33221a7de98,43200,2985044,2667,1085,6070,https://www.youtube.com/watch?v=atWKsZEsK10,4148,0,0,0,
b4a1791208fd4d85b7b08ee2bad0c236,42500,317614,33953,19646,95125,https://www.youtube.com/watch?v=Ehhd1Qcym7w,0,0,0,0,
22ca620b93c94e5cb48175bbecf8d3af,42400,3750099,1611,668,2330,https://www.youtube.com/watch?v=yESijwb7u7Q,0,0,0,0,
f18407d79b4b43ffa6adf629d1723a8f,42100,1338288,7996,3167,19028,https://www.youtube.com/watch?v=aHY2CuonzPM,0,0,0,0,
dee8efe8990e458c915e4f6a6a16b49f,40200,2693846,1613,769,4528,https://www.youtube.com/watch?v=c8a_SYHHH1E,2257,606,470,731,https://www.twitch.tv/videos/1591556293
