Display Name,YouTube Subscriber Count,YouTube View Count,YouTube Recent Median View Count,YouTube Recent Highest View Count,YouTube Recent Highest Viewed Video URL,Twitch Follower Count,Twitch Recent Median View Count,Twitch Recent Highest View Count,Twitch Recent Highest Viewed Video URL
杏仁ミル,320000,19090605,15907,39747,https://www.youtube.com/watch?v=fYwPx2UIBNs,15330,18772,22895,https://www.twitch.tv/videos/1024620917
梓凜,275000,21766856,1545,4104,https://www.youtube.com/watch?v=6fX1sZIh_C4,0,0,0,
高雄林小姐,104000,27873000,4431,10183,https://www.youtube.com/watch?v=EIQGteMBX0s,0,0,0,
鬼鬼,62900,201313,22931,130523,https://www.youtube.com/watch?v=B5waZl5A_j4,0,0,0,
鳥羽樂奈,51600,3395172,8320,29641,https://www.youtube.com/watch?v=LkG6T6sjqhc,1206,0,0,
璐洛洛,47600,4638081,10232,32862,https://www.youtube.com/watch?v=X1cuylquD6A,4243,640,2566,https://www.twitch.tv/videos/1026742412
香草奈若,47100,4788253,16464,72386,https://www.youtube.com/watch?v=YwjS16dfu9w,0,0,0,
悠白,37500,1081462,6020,26308,https://www.youtube.com/watch?v=EGWxy8QCEWU,0,0,0,
泰多貝亞,35800,824845,15006,31176,https://www.youtube.com/watch?v=Kpp63DfeRPo,0,0,0,
虎妮,35600,1157601,2379,6671,https://www.youtube.com/watch?v=jMokGd6AO94,19,0,0,
兔姬,31000,1038201,4358,11429,https://www.youtube.com/watch?v=FM2FERDxIng,0,0,0,
Asa Ifrit,28300,1044185,5908,10105,https://www.youtube.com/watch?v=qBR0Z6QX6TM,0,0,0,
灰名,26100,843699,6614,14099,https://www.youtube.com/watch?v=x4NvTiJhj2g,0,0,0,
空,21300,1352668,1044,22223,https://www.youtube.com/watch?v=maTvIFUp3uA,0,0,0,
平平子,18700,305949,5110,13307,https://www.youtube.com/watch?v=aAD3t0g3hbY,0,0,0,
Naya,18600,4695255,1111,5401,https://www.youtube.com/watch?v=Uz7aTAyp2-4,3161,230,506,https://www.twitch.tv/videos/1026785082
十五號,17900,328449,5406,21219,https://www.youtube.com/watch?v=4xch0T4J4KA,0,0,0,
藤乃熊,17700,75715,574,878,https://www.youtube.com/watch?v=z-3UV6G092s,0,0,0,
三毛,16900,845585,5507,15272,https://www.youtube.com/watch?v=YctgSgYk7cY,0,0,0,
水野魚娜,16600,751185,4094,12248,https://www.youtube.com/watch?v=N1P0Qgi_H5s,350,0,0,
鼠屋栗太,14900,183603,1039,2879,https://www.youtube.com/watch?v=5TyghUwzloc,0,0,0,
浠Mizuki,13100,73045,40151,42516,https://www.youtube.com/watch?v=6Z6o5VlyLHQ,0,0,0,
諳石,11500,2675428,268,6284,https://www.youtube.com/watch?v=8B2FgiBWmpQ,1374,13,27,https://www.twitch.tv/videos/1023509371
一介,10800,744415,515,585,https://www.youtube.com/watch?v=VLra9iWZkms,0,0,0,
須多夜花,10800,201092,2332,5928,https://www.youtube.com/watch?v=eCM3KWI5KS0,0,0,0,
星見遙,10200,306990,1039,3208,https://www.youtube.com/watch?v=AYjGVjtWbpU,0,0,0,
蕾兒,8360,185936,1276,2514,https://www.youtube.com/watch?v=8ZRjkz7ck9A,0,0,0,
祈菈‧貝希毛絲,8120,411954,2119,11227,https://www.youtube.com/watch?v=7nL2jAZxH2w,0,0,0,
風絮,6480,44780,157,467,https://www.youtube.com/watch?v=dTSKpIyqAUs,0,0,0,
希靈,6120,95308,1153,3555,https://www.youtube.com/watch?v=ez5_QhrU0X8,0,0,0,
TSMATCH火柴,6040,146351,733,2145,https://www.youtube.com/watch?v=EsOIZGJT8Cg,0,0,0,
夏日葵,5790,312739,504,714,https://www.youtube.com/watch?v=z-h7diMk9GE,0,0,0,
姬宮優花,5740,103847,408,803,https://www.youtube.com/watch?v=bvEgYOHg_mo,426,24,30,https://www.twitch.tv/videos/1029014533
いくせん,5640,355768,374,1130,https://www.youtube.com/watch?v=A5idldlqv1I,79,0,0,
魔法!,5600,1766697,112,570,https://www.youtube.com/watch?v=3azRncgaVaI,2272,117,155,https://www.twitch.tv/videos/1018784589
瀰婭,5530,203901,613,1555,https://www.youtube.com/watch?v=40O6BxKCAJk,96,0,0,
邱可,5400,63348,764,1335,https://www.youtube.com/watch?v=Sdw2C7uDzcE,0,0,0,
綾瑞香,5380,309967,4008,5801,https://www.youtube.com/watch?v=H_cKXlJISPg,246,0,0,
綾賢ラピス,5240,71055,378,15481,https://www.youtube.com/watch?v=9h3K0fJwfm0,0,0,0,
貝莉莓Vtype,5090,54188,896,5231,https://www.youtube.com/watch?v=o8Od4tjCwwo,0,0,0,
夏莎莎,5040,48416,681,1515,https://www.youtube.com/watch?v=kbYRoA-DFKk,0,0,0,
鴨鴨伊比,4950,93205,3516,19287,https://www.youtube.com/watch?v=autqMNlpFCU,0,0,0,
LMPAPER,4840,417027,59,128,https://www.youtube.com/watch?v=leYM9iQI7gs,2700,762,1442,https://www.twitch.tv/videos/1022185949
祈霓,4840,53408,617,888,https://www.youtube.com/watch?v=Ev7PC3IudEQ,0,0,0,
Lumina,4170,153258,274,560,https://www.youtube.com/watch?v=QkBqE0sL6bE,0,0,0,
蝦拉拉,4130,127100,866,1532,https://www.youtube.com/watch?v=l4UBPglKXKc,1640,0,0,
楠橋詩耶,3840,100814,264,646,https://www.youtube.com/watch?v=a4HCEKpGHCI,433,136,136,https://www.twitch.tv/videos/1027799683
秋月莉莉卡,3780,42951,525,1710,https://www.youtube.com/watch?v=DoJGXhdr3zA,0,0,0,
天堂密室,3620,88619,1048,2724,https://www.youtube.com/watch?v=0RwUDNFwqP0,0,0,0,
醬油Joyu,0,139265,1148,2317,https://www.youtube.com/watch?v=P9w5VZYa-UI,0,0,0,
