Display Name,YouTube Subscriber Count,YouTube View Count,YouTube Recent Median View Count,YouTube Recent Highest View Count,YouTube Recent Highest Viewed Video URL,Twitch Follower Count,Twitch Recent Median View Count,Twitch Recent Highest View Count,Twitch Recent Highest Viewed Video URL
杏仁ミル,322000,19360115,15816,51096,https://www.youtube.com/watch?v=Zza52z9QG88,15668,7088,8285,https://www.twitch.tv/videos/1040071329
高雄林小姐,104000,27994904,4956,30679,https://www.youtube.com/watch?v=S0F5QeZkM4s,0,0,0,
紅月,88600,107548,3755,4350,https://www.youtube.com/watch?v=mm5iK8TWSKs,0,0,0,
鳥羽樂奈,51500,3459786,7643,25020,https://www.youtube.com/watch?v=gcmet88gDwg,1201,0,0,
璐洛洛,48900,4837110,10871,33479,https://www.youtube.com/watch?v=MRlladtLEW4,4694,913,4618,https://www.twitch.tv/videos/1032447849
香草奈若,47200,4986694,15260,69129,https://www.youtube.com/watch?v=wh1jQ5bFL6A,0,0,0,
悠白,39100,1189338,8361,34239,https://www.youtube.com/watch?v=EGWxy8QCEWU,0,0,0,
泰多貝亞,37300,939059,16289,33465,https://www.youtube.com/watch?v=Kpp63DfeRPo,0,0,0,
虎妮,35600,1171360,2442,7095,https://www.youtube.com/watch?v=jMokGd6AO94,20,0,0,
兔姬,31500,1059217,4752,11892,https://www.youtube.com/watch?v=FM2FERDxIng,0,0,0,
Asa Ifrit,29300,1100725,7047,12705,https://www.youtube.com/watch?v=ImSkVIZ2YMM,0,0,0,
灰名,28200,943553,6389,10922,https://www.youtube.com/watch?v=Zyz-emEbyCc,0,0,0,
露恰露恰,27600,273583,30353,66271,https://www.youtube.com/watch?v=y54UfL3OtfI,0,0,0,
十五號,23300,421217,6332,24657,https://www.youtube.com/watch?v=4xch0T4J4KA,0,0,0,
平平子,22900,393436,6329,16184,https://www.youtube.com/watch?v=7HZISADg14I,0,0,0,
空,21400,1383992,1093,42961,https://www.youtube.com/watch?v=maTvIFUp3uA,0,0,0,
浠Mizuki,19700,208961,105448,155552,https://www.youtube.com/watch?v=6Z6o5VlyLHQ,0,0,0,
Naya,18600,4704800,1049,1151,https://www.youtube.com/watch?v=oQFTubQxUHg,3164,258,506,https://www.twitch.tv/videos/1026785082
藤乃熊,18200,77589,424,924,https://www.youtube.com/watch?v=z-3UV6G092s,0,0,0,
三毛,18000,842884,5717,39339,https://www.youtube.com/watch?v=yAD2HnaXJl4,0,0,0,
水野魚娜,16800,761950,3716,12964,https://www.youtube.com/watch?v=N1P0Qgi_H5s,351,0,0,
鼠屋栗太,15200,202311,1173,3405,https://www.youtube.com/watch?v=PdkrCb1NDKo,0,0,0,
須多夜花,13600,274378,2847,13879,https://www.youtube.com/watch?v=Bv_Mt1pw2xU,0,0,0,
諳石,11600,2692944,273,8644,https://www.youtube.com/watch?v=8B2FgiBWmpQ,1374,16,27,https://www.twitch.tv/videos/1026778565
一介,10900,748667,653,653,https://www.youtube.com/watch?v=xJsKtzID-cE,0,0,0,
星見遙,10400,318457,1027,3238,https://www.youtube.com/watch?v=AYjGVjtWbpU,0,0,0,
祈菈‧貝希毛絲,9960,465814,2765,12792,https://www.youtube.com/watch?v=7nL2jAZxH2w,0,0,0,
蕾兒,8540,195954,1680,2578,https://www.youtube.com/watch?v=8ZRjkz7ck9A,0,0,0,
蘆棠布奈,8010,84988,27870,50215,https://www.youtube.com/watch?v=Dsrh1boXOTA,0,0,0,
希靈,6530,110164,1256,4326,https://www.youtube.com/watch?v=ez5_QhrU0X8,0,0,0,
風絮,6520,53154,160,2795,https://www.youtube.com/watch?v=lyamc0u5Eso,0,0,0,
TSMATCH火柴,6170,152315,804,1928,https://www.youtube.com/watch?v=EsOIZGJT8Cg,0,0,0,
夏日葵,5840,315091,541,1237,https://www.youtube.com/watch?v=jp7O1K07nIo,0,0,0,
姬宮優花,5810,106461,445,825,https://www.youtube.com/watch?v=bvEgYOHg_mo,423,29,39,https://www.twitch.tv/videos/1032269971
鴨鴨伊比,5770,118933,2948,25210,https://www.youtube.com/watch?v=autqMNlpFCU,0,0,0,
いくせん,5680,359113,388,1236,https://www.youtube.com/watch?v=A5idldlqv1I,79,0,0,
魔法!,5620,1774091,122,357,https://www.youtube.com/watch?v=_ODaH8xN9OM,2274,118,174,https://www.twitch.tv/videos/1037924981
瀰婭,5600,206126,587,1687,https://www.youtube.com/watch?v=40O6BxKCAJk,98,0,0,
綾瑞香,5520,347887,4214,6075,https://www.youtube.com/watch?v=H_cKXlJISPg,246,0,0,
邱可,5450,65054,867,1447,https://www.youtube.com/watch?v=Sdw2C7uDzcE,0,0,0,
貝莉莓Vtype,5300,61818,1909,5682,https://www.youtube.com/watch?v=o8Od4tjCwwo,0,0,0,
夏莎莎,5290,52772,861,2381,https://www.youtube.com/watch?v=L8We0tespg8,0,0,0,
祈霓,4990,56825,648,1071,https://www.youtube.com/watch?v=MapXHk-8Fjc,0,0,0,
LMPAPER,4830,417563,70,132,https://www.youtube.com/watch?v=leYM9iQI7gs,2720,659,1602,https://www.twitch.tv/videos/1039076723
塔芭絲可,4630,82181,1413,11285,https://www.youtube.com/watch?v=JScXPskXaIM,0,0,0,
蝦拉拉,4200,130085,747,1584,https://www.youtube.com/watch?v=l4UBPglKXKc,1650,296,386,https://www.twitch.tv/videos/1032544813
Lumina,4180,154857,302,600,https://www.youtube.com/watch?v=QkBqE0sL6bE,0,0,0,
