Name,SubscriberCount,ViewCount,MedianViewCount,HighestViewCount,HighestViewedVideoURL
鬼鬼,811000,256265962,39600,111867,https://www.youtube.com/watch?v=xEdIqLLcJU4
杏仁ミル,319000,18596003,28194,131627,https://www.youtube.com/watch?v=iCNnpjC4XLE
高雄林小姐,104000,27660575,4366,9245,https://www.youtube.com/watch?v=BE12OcNDvGY
鳥羽樂奈,50100,3043136,8261,26275,https://www.youtube.com/watch?v=8WSsA8iu1pE
香草奈若,46000,4170792,17102,53529,https://www.youtube.com/watch?v=FJvPw15zPOc
璐洛洛,44900,4202484,4008,42481,https://www.youtube.com/watch?v=uCmwqXj9Jic
虎妮,35200,1112937,1977,7681,https://www.youtube.com/watch?v=pYmZ7I8jkwM
悠白,34700,913499,5854,6971,https://www.youtube.com/watch?v=OMWsCbGdvKg
虛擬熊頭,32000,552542,12109,32286,https://www.youtube.com/watch?v=kdpMXHeO-u4
兔姬,29300,984295,5307,7998,https://www.youtube.com/watch?v=tG12m1QgOTM
Asa Ifrit,26800,921323,6410,11636,https://www.youtube.com/watch?v=worGj9FJSE0
喵太,22500,568855,4755,4755,https://www.youtube.com/watch?v=nczLpp4FyzY
灰名,21900,601831,6289,59294,https://www.youtube.com/watch?v=NgZdIk4QG5w
空,21000,1268143,890,11852,https://www.youtube.com/watch?v=DuJwYt9mNco
Naya,18600,4677296,1339,5201,https://www.youtube.com/watch?v=Uz7aTAyp2-4
藤乃熊,16500,66397,475,6233,https://www.youtube.com/watch?v=jWqywYzCeV8
三毛,14700,637705,5361,13450,https://www.youtube.com/watch?v=YctgSgYk7cY
水野魚娜,14300,597246,4126,7798,https://www.youtube.com/watch?v=U1H0QZ8iE38
鼠屋栗太,14300,146790,825,3651,https://www.youtube.com/watch?v=j-5AQb3nxaI
平平子,14000,194695,4422,8449,https://www.youtube.com/watch?v=zEHJINkdhSA
十五號,11500,186195,4464,12599,https://www.youtube.com/watch?v=DL0OJ5Z4ItA
諳石,11200,2639066,282,764,https://www.youtube.com/watch?v=_TqfYSGte84
星見遙,9760,274856,1086,2947,https://www.youtube.com/watch?v=xnJVAa1GUJk
須多夜花,8900,117039,2471,14393,https://www.youtube.com/watch?v=1qifa3GwBUY
蕾兒,8000,167460,1377,2482,https://www.youtube.com/watch?v=P6qvf8zT9fE
風絮,6460,39771,179,565,https://www.youtube.com/watch?v=-yjtEMENlRY
TSMATCH火柴,5800,130782,544,910,https://www.youtube.com/watch?v=zoYWJwJeonU
夏日葵,5630,306111,310,8547,https://www.youtube.com/watch?v=ch_qIhqWfVw
魔法!,5570,1750602,311,453,https://www.youtube.com/watch?v=kT3yzG6NN3E
姬宮優花,5540,95498,452,1019,https://www.youtube.com/watch?v=CmGFLqA3p4c
祈菈‧貝希毛絲,5520,349648,1719,6137,https://www.youtube.com/watch?v=EeG4CIJUGQI
いくせん,5410,340073,223,757,https://www.youtube.com/watch?v=57YNeYFEepY
邱可,5310,56338,712,1845,https://www.youtube.com/watch?v=I0rBWVEc7CU
瀰婭,5190,191674,460,1392,https://www.youtube.com/watch?v=MFhTssWx-2s
希靈,4940,65804,1330,2864,https://www.youtube.com/watch?v=-1RzMgDh7Hw
綾瑞香,4830,197018,460,1450,https://www.youtube.com/watch?v=B9uHZNegTsQ
LMPAPER,4810,415420,175,272,https://www.youtube.com/watch?v=aj-upnSdv5U
夏莎莎,4760,38557,910,3155,https://www.youtube.com/watch?v=IxIONNW-6FA
祈霓,4620,45169,884,1521,https://www.youtube.com/watch?v=6ThtBDi_Y6Q
綾賢ラピス,4230,50448,305,867,https://www.youtube.com/watch?v=iHfpTz8VLI0
Lumina,4140,148493,192,213,https://www.youtube.com/watch?v=17Ex_KG3NAA
蝦拉拉,3730,113720,917,1294,https://www.youtube.com/watch?v=Yzsb1RHAEvg
楠橋詩耶,3660,96310,232,439,https://www.youtube.com/watch?v=KsPmaCb0AI8
秋月莉莉卡,3330,31002,884,5213,https://www.youtube.com/watch?v=z9mKyEh68NQ
罷工,3160,79134,167,2506,https://www.youtube.com/watch?v=JV2MaD4YqqU
狐媚娘‧達亞,3150,58530,503,2888,https://www.youtube.com/watch?v=bdBav-0sJtI
卡滋可可,3140,101286,334,1188,https://www.youtube.com/watch?v=6J4iZxXTk_0
天堂,3120,60052,2085,9012,https://www.youtube.com/watch?v=Z9tD0EmJuGQ
明石巴,3080,16151,273,296,https://www.youtube.com/watch?v=qSo8NsGSeWA
観空部,3070,145786,345,604,https://www.youtube.com/watch?v=F_PWv99QRQU
Joyce昕,3030,301009,144,180,https://www.youtube.com/watch?v=0t04dqWLy3Y
艾黎,3020,30885,343,1005,https://www.youtube.com/watch?v=isDU4y9SOGc
櫻野露,3010,78731,439,749,https://www.youtube.com/watch?v=xNZhjYYRT8A
南琳,2610,21770,167,667,https://www.youtube.com/watch?v=DYI24RLRkcw
布魯斯,2580,30289,1511,8148,https://www.youtube.com/watch?v=2zpBetbVcr0
希莉亞,2050,87565,2204,4021,https://www.youtube.com/watch?v=qlcRS8JVRJ4
嗚夫沃夫,1790,47117,1317,4433,https://www.youtube.com/watch?v=hEAGT872CME
麻子マコ,1440,5947,1908,2896,https://www.youtube.com/watch?v=qSrWUJmPOjo
醬油Mochi,0,122718,1268,2467,https://www.youtube.com/watch?v=V-lzUIp7W3o
