Name,SubscriberCount,ViewCount,MedianViewCount,HighestViewCount,HighestViewedVideoURL
鬼鬼,811000,255609496,37117,91492,https://www.youtube.com/watch?v=xEdIqLLcJU4
杏仁ミル,318000,18451770,25699,130401,https://www.youtube.com/watch?v=iCNnpjC4XLE
高雄林小姐,104000,27608928,4631,9242,https://www.youtube.com/watch?v=BE12OcNDvGY
鳥羽樂奈,48900,2850319,8150,48928,https://www.youtube.com/watch?v=56hoe7Dn5CM
香草奈若,44700,3912398,17495,43297,https://www.youtube.com/watch?v=FJvPw15zPOc
璐洛洛,43700,4043463,3926,30905,https://www.youtube.com/watch?v=uCmwqXj9Jic
虎妮,35200,1102602,1996,6824,https://www.youtube.com/watch?v=pYmZ7I8jkwM
悠白,34100,902313,5706,11102,https://www.youtube.com/watch?v=ejGH1BC1l98
虛擬熊頭,29900,454880,12676,27325,https://www.youtube.com/watch?v=kdpMXHeO-u4
兔姬,29000,967103,5269,7849,https://www.youtube.com/watch?v=tG12m1QgOTM
Asa Ifrit,26200,894471,5433,11222,https://www.youtube.com/watch?v=worGj9FJSE0
喵太,22400,564758,4549,4549,https://www.youtube.com/watch?v=nczLpp4FyzY
空,20000,1245689,883,11724,https://www.youtube.com/watch?v=DuJwYt9mNco
灰名,19500,490381,6019,89039,https://www.youtube.com/watch?v=QjfeAUpMp04
Naya,18600,4663298,1133,2065,https://www.youtube.com/watch?v=bbiX_GG-1Pk
藤乃熊,15200,63761,479,5944,https://www.youtube.com/watch?v=jWqywYzCeV8
鼠屋栗太,14100,136365,934,3572,https://www.youtube.com/watch?v=j-5AQb3nxaI
三毛,13800,575091,5787,12492,https://www.youtube.com/watch?v=XIGRpHiHRn8
水野魚娜,13500,537158,3801,7543,https://www.youtube.com/watch?v=U1H0QZ8iE38
平平子,12900,176760,4517,9108,https://www.youtube.com/watch?v=DTa5I0_zKIY
諳石,11200,2629820,286,670,https://www.youtube.com/watch?v=_TqfYSGte84
十五號,10800,157938,4563,12055,https://www.youtube.com/watch?v=m5gpfxqyY8w
星見遙,9350,263810,1161,2347,https://www.youtube.com/watch?v=xnJVAa1GUJk
蕾兒,7910,161953,1566,2795,https://www.youtube.com/watch?v=kBqyA5J-z2M
須多夜花,7060,95682,3386,13592,https://www.youtube.com/watch?v=1qifa3GwBUY
風絮,6450,39144,187,563,https://www.youtube.com/watch?v=-yjtEMENlRY
TSMATCH火柴,5720,127061,612,849,https://www.youtube.com/watch?v=zoYWJwJeonU
魔法!,5560,1746272,241,436,https://www.youtube.com/watch?v=kT3yzG6NN3E
夏日葵,5560,302920,322,7715,https://www.youtube.com/watch?v=ch_qIhqWfVw
姬宮優花,5470,93435,516,992,https://www.youtube.com/watch?v=CmGFLqA3p4c
いくせん,5370,336225,227,621,https://www.youtube.com/watch?v=57YNeYFEepY
邱可,5240,53073,732,1971,https://www.youtube.com/watch?v=2Ws6SuMBg9A
瀰婭,4970,189340,429,1378,https://www.youtube.com/watch?v=MFhTssWx-2s
LMPAPER,4800,415067,153,218,https://www.youtube.com/watch?v=aj-upnSdv5U
祈菈‧貝希毛絲,4670,332953,1284,5782,https://www.youtube.com/watch?v=EeG4CIJUGQI
夏莎莎,4610,36468,1277,2989,https://www.youtube.com/watch?v=IxIONNW-6FA
希靈,4610,55411,1321,7355,https://www.youtube.com/watch?v=PG9LMIDbvKY
祈霓,4490,41476,918,1669,https://www.youtube.com/watch?v=HYojt0vu2Vk
綾瑞香,4490,160015,428,1045,https://www.youtube.com/watch?v=B9uHZNegTsQ
綾賢ラピス,4200,49125,427,858,https://www.youtube.com/watch?v=iHfpTz8VLI0
Lumina,4130,147646,184,243,https://www.youtube.com/watch?v=JxpOvk0sHsc
蝦拉拉,3630,111003,729,1232,https://www.youtube.com/watch?v=x98X5yK1Ohg
楠橋詩耶,3550,95061,356,570,https://www.youtube.com/watch?v=5jCCvCHuH7k
罷工,3150,78735,153,2480,https://www.youtube.com/watch?v=JV2MaD4YqqU
狐媚娘‧達亞,3100,54984,562,7565,https://www.youtube.com/watch?v=Jlu55-FPoWw
明石巴,3050,15795,269,269,https://www.youtube.com/watch?v=qSo8NsGSeWA
観空部,3040,144013,343,804,https://www.youtube.com/watch?v=FfFvxmfckeo
Joyce昕,3030,300311,151,214,https://www.youtube.com/watch?v=tndrV_gOauM
櫻野露,2920,75031,363,669,https://www.youtube.com/watch?v=X6qdnUHxELk
天堂,2810,50180,2442,8729,https://www.youtube.com/watch?v=Z9tD0EmJuGQ
南琳,2560,20828,139,607,https://www.youtube.com/watch?v=DYI24RLRkcw
卡滋可可,2550,96805,265,362,https://www.youtube.com/watch?v=5QwNs53UYEE
星形KARAS,2550,375653,192,426,https://www.youtube.com/watch?v=REFRwtEHzYI
小森,2380,20494,738,3043,https://www.youtube.com/watch?v=mHKoXmqu5Dg
布魯斯,2340,27410,2274,7893,https://www.youtube.com/watch?v=2zpBetbVcr0
希莉亞,1880,85556,2056,4017,https://www.youtube.com/watch?v=qlcRS8JVRJ4
嗚夫沃夫,1400,34937,1311,4063,https://www.youtube.com/watch?v=hEAGT872CME
麻子マコ,1270,5076,1752,2744,https://www.youtube.com/watch?v=qSrWUJmPOjo
醬油Mochi,0,114673,1351,3599,https://www.youtube.com/watch?v=ZS-QOmiS0DE
