Name,SubscriberCount,ViewCount,MedianViewCount,HighestViewCount,HighestViewedVideoURL
鬼鬼,810000,254848948,24372,100651,https://www.youtube.com/watch?v=CagScdEfLRk
杏仁ミル,318000,18316700,36912,127243,https://www.youtube.com/watch?v=iCNnpjC4XLE
高雄林小姐,104000,27545976,4607,9218,https://www.youtube.com/watch?v=BE12OcNDvGY
鳥羽樂奈,48100,2718182,9724,46768,https://www.youtube.com/watch?v=56hoe7Dn5CM
香草奈若,43600,3664068,20515,91428,https://www.youtube.com/watch?v=DJp6yFFAgN4
璐洛洛,42900,3928237,3935,36871,https://www.youtube.com/watch?v=fKLojfMxmPY
虎妮,34900,1117896,1920,5421,https://www.youtube.com/watch?v=ew9vDejzCfc
悠白,33600,886290,5306,10920,https://www.youtube.com/watch?v=ejGH1BC1l98
兔姬,28500,941182,4935,7490,https://www.youtube.com/watch?v=tG12m1QgOTM
虛擬熊頭,27800,352223,11740,21795,https://www.youtube.com/watch?v=cu2KvczVD1k
Asa Ifrit,25300,861057,4038,10458,https://www.youtube.com/watch?v=worGj9FJSE0
喵太,22300,559183,3183,4217,https://www.youtube.com/watch?v=nczLpp4FyzY
空,19500,1224211,856,4374,https://www.youtube.com/watch?v=-97qMHPnUdE
Naya,18600,4657550,1122,2041,https://www.youtube.com/watch?v=bbiX_GG-1Pk
灰名,16300,382175,5132,69535,https://www.youtube.com/watch?v=QjfeAUpMp04
如月ルミィ,15000,362747,6815,16099,https://www.youtube.com/watch?v=VjepVw3EUHs
藤乃熊,14100,59545,454,5432,https://www.youtube.com/watch?v=jWqywYzCeV8
鼠屋栗太,13800,126511,930,3446,https://www.youtube.com/watch?v=j-5AQb3nxaI
三毛,12600,497490,5831,11604,https://www.youtube.com/watch?v=5w-bTaO1Kv4
水野魚娜,12200,477425,3495,5006,https://www.youtube.com/watch?v=MiVvLQMHpw0
諳石,11200,2618776,292,598,https://www.youtube.com/watch?v=f3q9CkhefvA
平平子,11200,143649,4764,8687,https://www.youtube.com/watch?v=DTa5I0_zKIY
十五號,8990,111640,4521,20723,https://www.youtube.com/watch?v=oKBlaZAbjB4
星見遙,8650,241041,1146,1855,https://www.youtube.com/watch?v=fyr8Mil20eg
蕾兒,7800,154754,1856,2783,https://www.youtube.com/watch?v=kBqyA5J-z2M
榎川幸,7290,194216,2113,2601,https://www.youtube.com/watch?v=ynl1y6BETGU
秋月イノリ,7000,154676,881,1706,https://www.youtube.com/watch?v=UBPosbqDLKg
風絮,6440,38209,196,558,https://www.youtube.com/watch?v=-yjtEMENlRY
須多夜花,5750,74742,4616,12470,https://www.youtube.com/watch?v=1qifa3GwBUY
米亞,5730,187094,1842,6039,https://www.youtube.com/watch?v=Y-2cWk-wOOs
TSMATCH火柴,5660,123311,683,1011,https://www.youtube.com/watch?v=XYcgPRVYNjQ
魔法!,5550,1740374,205,409,https://www.youtube.com/watch?v=kT3yzG6NN3E
姬宮優花,5410,92234,508,955,https://www.youtube.com/watch?v=CmGFLqA3p4c
いくせん,5320,331284,299,345,https://www.youtube.com/watch?v=YYxHHn6Lnlc
夏日葵,5280,293480,308,770,https://www.youtube.com/watch?v=E9knqDq5bG8
邱可,5240,51021,1051,2838,https://www.youtube.com/watch?v=ktGw__P6ZOw
LMPAPER,4790,414571,130,197,https://www.youtube.com/watch?v=y3iK2cyXuIQ
瀰婭,4710,184705,442,1327,https://www.youtube.com/watch?v=MFhTssWx-2s
723,4640,358793,140,227,https://www.youtube.com/watch?v=FMDDlPt0XsM
夏莎莎,4280,30513,1382,2536,https://www.youtube.com/watch?v=yY3oXq20UKo
綾賢ラピス,4170,47714,427,914,https://www.youtube.com/watch?v=OTgSecy5Mcw
祈霓,4170,37522,889,2818,https://www.youtube.com/watch?v=_UVYABIairY
綾瑞香,4160,124370,423,1645,https://www.youtube.com/watch?v=Ej9qyn19oZs
希靈,4150,43474,1291,7052,https://www.youtube.com/watch?v=PG9LMIDbvKY
Lumina,4130,146859,241,641,https://www.youtube.com/watch?v=hc_-S0n4qok
楠橋詩耶,3510,93639,385,561,https://www.youtube.com/watch?v=N3k6eRi68I8
蝦拉拉,3500,106942,716,918,https://www.youtube.com/watch?v=g4uLn8x9nZo
撇嘴耳包前滾翻,2390,132175,433,668,https://www.youtube.com/watch?v=RSkJXzyJPqs
小森,2350,18456,1000,3014,https://www.youtube.com/watch?v=mHKoXmqu5Dg
醬油Mochi,0,102395,1475,3655,https://www.youtube.com/watch?v=vTigzRTdhfU
