Display Name,YouTube Subscriber Count,YouTube View Count,YouTube Recent Median View Count,YouTube Recent Highest View Count,YouTube Recent Highest Viewed Video URL,Twitch Follower Count,Twitch Recent Median View Count,Twitch Recent Highest View Count,Twitch Recent Highest Viewed Video URL
鬼鬼,857000,274012386,15051,92132,https://www.youtube.com/watch?v=HDuJhxMtRQg,0,0,0,
杏仁ミル,361000,24303456,22156,55217,https://www.youtube.com/watch?v=Cu-kAqggUvQ,18754,3172,6273,https://www.twitch.tv/videos/1156834084
梓凜,269000,20534871,814,1271,https://www.youtube.com/watch?v=1rNQM3ZyjYs,0,0,0,
床編故事,184000,19920499,54635,94736,https://www.youtube.com/watch?v=gxqoN46rxBo,0,0,0,
懶貓子,140000,3503743,45762,66655,https://www.youtube.com/watch?v=ch7ZNsEtZHg,0,0,0,
予樂,108000,13808531,3768,16814,https://www.youtube.com/watch?v=qk9hxR0iVq0,0,0,0,
高雄林小姐,103000,28854434,3648,6635,https://www.youtube.com/watch?v=TuUfZp5pWPM,0,0,0,
紅月,89900,364454,0,0,,0,0,0,
鬼鬼副頻道,88800,489685,0,0,,0,0,0,
璐洛洛,87000,10129337,13892,118629,https://www.youtube.com/watch?v=glSWHWrqFq0,9010,1855,4186,https://www.twitch.tv/videos/1146499073
浠Mizuki,75900,2566620,25427,104222,https://www.youtube.com/watch?v=mS0MT0Y_VP8,0,0,0,
李李鈴蘭,71100,1775525,54676,178571,https://www.youtube.com/watch?v=RkfzhWcSX2I,0,0,0,
鳥羽樂奈,52300,3994167,2269,4242,https://www.youtube.com/watch?v=rPPo-eBJC3A,1233,234,234,https://www.twitch.tv/videos/1155639195
露恰露恰,52300,1255676,7629,17372,https://www.youtube.com/watch?v=qE0yT0RclDM,0,0,0,
灰名,52200,2708091,7966,32840,https://www.youtube.com/watch?v=w3p3fI7fkdQ,0,0,0,
悠白,51600,2156620,4900,12455,https://www.youtube.com/watch?v=XLNYGFH_Fj0,0,0,0,
香草奈若,50300,6255475,2580,6626,https://www.youtube.com/watch?v=RV95tCSacwc,0,0,0,
十五號,45600,1537250,8009,18275,https://www.youtube.com/watch?v=1Mh3rOv_6qQ,0,0,0,
平平子,44500,1284769,6500,14762,https://www.youtube.com/watch?v=bKtncqmbr2o,0,0,0,
泰多貝亞,42100,1912293,5542,14552,https://www.youtube.com/watch?v=zfw8bBLmjSI,0,0,0,
Asa Ifrit,39400,2057434,5467,11719,https://www.youtube.com/watch?v=xR-_P2hwlYE,0,0,0,
虎妮,39000,1381270,1664,4462,https://www.youtube.com/watch?v=LiqkgDg-8H8,21,0,0,
說書客,39000,3090471,2777,6730,https://www.youtube.com/watch?v=2egSi1HBrxg,0,0,0,
兔姬,37700,1407030,2808,7723,https://www.youtube.com/watch?v=lWyo_XS-fT0,0,0,0,
貝莉莓Vtype,36300,2090030,11209,51595,https://www.youtube.com/watch?v=wyLElv9nmfQ,0,0,0,
喵太,25500,761495,2508,3622,https://www.youtube.com/watch?v=MoZN98ERT1o,5351,1607,1619,https://www.twitch.tv/videos/1158788435
歐貝爾,25200,729086,4677,18070,https://www.youtube.com/watch?v=GQHXB_WcgJw,0,0,0,
醬油Joyu,24900,286758,712,1422,https://www.youtube.com/watch?v=_Gyzveha7Zc,0,0,0,
迷子羽根,24400,124962,1164,2318,https://www.youtube.com/watch?v=2LSuyNW2NX8,0,0,0,
三毛,23600,1461758,2938,7463,https://www.youtube.com/watch?v=-12y8zCn5cI,0,0,0,
如月ルミィ,23500,956080,3139,5690,https://www.youtube.com/watch?v=QBK2lFMnrY8,0,0,0,
須多夜花,22600,861053,2104,5180,https://www.youtube.com/watch?v=z7VIAL0VulI,0,0,0,
空,22500,1644735,812,22970,https://www.youtube.com/watch?v=-xU_r5RTLHw,0,0,0,
語風薯薯與愛紗公主,22300,11347915,1765,6147,https://www.youtube.com/watch?v=tVEX_1wj-3k,0,0,0,
祈菈‧貝希毛絲,19900,1013068,3331,8948,https://www.youtube.com/watch?v=gwEyL49QcIw,0,0,0,
Naya,19400,5117251,2290,8894,https://www.youtube.com/watch?v=wXQVIhP1DHA,3254,0,0,
藤乃熊,19000,115530,133,866,https://www.youtube.com/watch?v=yzHtKPZ-wwM,0,0,0,
Yu,17900,4458879,2616,23986,https://www.youtube.com/watch?v=HnPrtWgz3dg,0,0,0,
鼠屋栗太,17800,422015,732,1900,https://www.youtube.com/watch?v=AymaYjzn4Ws,0,0,0,
米亞,16000,686484,2594,7658,https://www.youtube.com/watch?v=TXTU_UG2dug,0,0,0,
希靈,15000,398324,1815,5189,https://www.youtube.com/watch?v=5AiAGeGTSsY,0,0,0,
銀鈴‧希爾貝露,13300,343573,809,6250,https://www.youtube.com/watch?v=OPf_E9W9yWM,0,0,0,
蕾兒,12600,383197,1659,2626,https://www.youtube.com/watch?v=DY1-kAcayk0,0,0,0,
諳石,12400,2875013,409,1339,https://www.youtube.com/watch?v=dAyjMiAHpTA,1391,13,55,https://www.twitch.tv/videos/1152261596
瑪格麗特．溫特斯,11700,203089,6376,15380,https://www.youtube.com/watch?v=Ky4HY7yGThI,0,0,0,
諾櫻,11600,465019,1877,3276,https://www.youtube.com/watch?v=fwGRVCrq7uw,0,0,0,
星見遙,11600,424871,482,971,https://www.youtube.com/watch?v=gEez8N4haDc,0,0,0,
蘆棠布奈,11600,318224,2543,5428,https://www.youtube.com/watch?v=Z_Kluv7yM6g,0,0,0,
一介,11100,800869,0,0,,0,0,0,
塔芭絲可,10400,503310,1680,4492,https://www.youtube.com/watch?v=AYDR-cHVSRI,0,0,0,
夏玥白夜,10300,168623,0,0,,0,0,0,
巴蘭利維坦,10100,344900,2480,8101,https://www.youtube.com/watch?v=bTZiL4f-HW4,0,0,0,
MK妹,10100,300994,2548,4160,https://www.youtube.com/watch?v=MGjXrWCP-6Y,0,0,0,
秋月イノリ,9790,266284,846,1657,https://www.youtube.com/watch?v=Nfblb8fYllg,0,0,0,
Aoi Hinamori,9600,218282,1746,6518,https://www.youtube.com/watch?v=dR46gnaKCUU,0,0,0,
弦戶帝丹,9240,256690,2304,4137,https://www.youtube.com/watch?v=IlAquwgf6Xk,0,0,0,
小咖,9040,1642218,2332,151594,https://www.youtube.com/watch?v=GzJDf4-OtRU,0,0,0,
小林あいす,8540,287580,892,1420,https://www.youtube.com/watch?v=oXEjuEMExlI,0,0,0,
鴨鴨伊比,8490,252512,1303,2712,https://www.youtube.com/watch?v=h3cGy6fc4BE,0,0,0,
風絮,8420,129737,792,2247,https://www.youtube.com/watch?v=McaWXf-pbBg,0,0,0,
榎川幸,8360,255268,618,650,https://www.youtube.com/watch?v=wrmrkV7BlgQ,0,0,0,
瀰婭,7810,290214,647,1118,https://www.youtube.com/watch?v=dC6AnKG9uLw,150,0,0,
麻子マコ,7760,151835,830,7139,https://www.youtube.com/watch?v=TZ97nGA6yvg,0,0,0,
蔡宜蓁,7720,213117,1445,60631,https://www.youtube.com/watch?v=0DEF6hWlMeY,0,0,0,
神草甘蔗子,7690,1818352,125,182,https://www.youtube.com/watch?v=0UJ2JlgmolU,0,0,0,
邱可,7570,131256,524,1211,https://www.youtube.com/watch?v=cH9kh3iq7Zg,0,0,0,
洛可洛斯特,7320,259942,1328,2976,https://www.youtube.com/watch?v=-4ltQGGc2Hc,0,0,0,
TSMATCH火柴,7300,229530,625,1038,https://www.youtube.com/watch?v=lLtW-LAz5UM,0,0,0,
蝦拉拉,7280,205808,831,1897,https://www.youtube.com/watch?v=Mdasx4wNnVU,1907,0,0,
嗚夫沃夫,7180,435664,1768,5616,https://www.youtube.com/watch?v=cUol5yTTsYU,0,0,0,
牧野白,6910,178786,1108,1702,https://www.youtube.com/watch?v=XSe30wdl6-4,501,0,0,
いくせん,6840,468119,263,3993,https://www.youtube.com/watch?v=1Urta8_Snfw,78,0,0,
詠星優宇奈,6760,150465,1382,1984,https://www.youtube.com/watch?v=F2b_xdpjO-8,0,0,0,
海姬依莉亞,6480,158190,483,1327,https://www.youtube.com/watch?v=j7hUha181T8,0,0,0,
姬宮優花,6430,140649,304,634,https://www.youtube.com/watch?v=_rBkB9_jjKM,427,0,0,
夏莎莎,6370,83489,420,1266,https://www.youtube.com/watch?v=d8DXUHnRHUs,0,0,0,
吉姆,6360,47269,621,1060,https://www.youtube.com/watch?v=QgLC7Lz6wPw,1814,1275,4959,https://www.twitch.tv/videos/1155573215
祈霓,6180,90137,548,1104,https://www.youtube.com/watch?v=qqCEhZ92oy8,0,0,0,
綾瑞香,6040,151645,391,2442,https://www.youtube.com/watch?v=39iShnFssBE,331,122,304,https://www.twitch.tv/videos/1156965347
萊菈‧希格娜斯,5900,136987,544,1344,https://www.youtube.com/watch?v=sKvtkAE-oGo,0,0,0,
夏日葵,5890,347457,156,273,https://www.youtube.com/watch?v=KOjBc6fxP2g,0,0,0,
橙米,5810,159972,830,1838,https://www.youtube.com/watch?v=wGprg2ZSzQ8,0,0,0,
魔法!,5710,1862803,0,0,,2268,0,0,
解凍三色豆,5630,183888,919,1725,https://www.youtube.com/watch?v=FEB0AAr-GNI,0,0,0,
阿露比,5540,161003,886,2641,https://www.youtube.com/watch?v=yIw86LaJfLQ,0,0,0,
狐媚娘‧達亞,5500,139737,465,837,https://www.youtube.com/watch?v=6ib9Vsu91vk,0,0,0,
森森觀月,5180,52267,381,594,https://www.youtube.com/watch?v=O7-iujQkJkI,0,0,0,
狛井葵,5130,183036,752,1118,https://www.youtube.com/watch?v=-ZX0WsgZeE0,0,0,0,
灰妲,5120,139939,776,2136,https://www.youtube.com/watch?v=tmIlXZaU1DA,0,0,0,
Lumina,4970,241136,335,613,https://www.youtube.com/watch?v=bt-L7fqxZuM,0,0,0,
LMPAPER,4960,426197,230,355,https://www.youtube.com/watch?v=smJbsCr55O4,3080,1165,2049,https://www.twitch.tv/videos/1154013311
夏樹きよし,4950,102145,466,651,https://www.youtube.com/watch?v=eApiqp7JSHs,0,0,0,
秋月莉莉卡,4920,114406,330,930,https://www.youtube.com/watch?v=r_4noKXE8nQ,0,0,0,
uiru,4860,117800,401,599,https://www.youtube.com/watch?v=wikLrP9Q2RE,0,0,0,
723,4860,409486,94,115,https://www.youtube.com/watch?v=_PijBfLatys,0,0,0,
櫻野露,4780,162863,517,2034,https://www.youtube.com/watch?v=PMwZPeDy8f8,0,0,0,
斜胖,4690,148936,858,2686,https://www.youtube.com/watch?v=qP3tOIGSXN4,0,0,0,
朱道,4650,165889,1253,2784,https://www.youtube.com/watch?v=Eo9sTDxfPnI,0,0,0,
帕豹,4640,115270,916,2385,https://www.youtube.com/watch?v=Vx9nBQrXOpE,0,0,0,
小岩井波波利,4620,143308,674,2166,https://www.youtube.com/watch?v=t5icV3wiyF8,0,0,0,
艾黎,4570,105512,338,16479,https://www.youtube.com/watch?v=vhKls4jZRts,81,0,0,
神稻櫻火,4540,2609,2685,2685,https://www.youtube.com/watch?v=v4-_Oqksmz8,0,0,0,
楠橋詩耶,4440,118620,236,958,https://www.youtube.com/watch?v=qzGTY7e-jmA,432,0,0,
蘭希,4260,353857,571,2270,https://www.youtube.com/watch?v=yx9JMD0TCew,0,0,0,
布魯斯,4190,80708,492,1273,https://www.youtube.com/watch?v=EKZZIMAuvbw,0,0,0,
紗夏,4160,70040,0,0,,2542,0,0,
黒田翔隼,4150,108554,124,392,https://www.youtube.com/watch?v=kMDApUUgd7o,82,0,0,
椎南月白,4010,36747,433,6891,https://www.youtube.com/watch?v=xzhy-rGFiCU,0,0,0,
轉生者AJin,3920,56872,354,2394,https://www.youtube.com/watch?v=UZ6o4PCRY3A,0,0,0,
周默,3810,116502,610,1949,https://www.youtube.com/watch?v=2sy9ezdD0w4,0,0,0,
卡滋可可,3750,126369,232,365,https://www.youtube.com/watch?v=_4OtO1HIe_4,475,0,0,
観空部,3720,190132,389,830,https://www.youtube.com/watch?v=-vmmxK_h3LU,286,0,0,
紫映遊月,3690,44071,2062,12004,https://www.youtube.com/watch?v=bPY04Njo9Xg,0,0,0,
罷工,3590,112115,88,308,https://www.youtube.com/watch?v=9oIYvxZMW28,0,0,0,
星形KARAS,3490,405206,247,890,https://www.youtube.com/watch?v=zGBtsELangs,0,0,0,
西園寺兆兆,3430,89773,314,1514,https://www.youtube.com/watch?v=cigs37JxXlY,44,0,0,
西貝魯阿法,3400,19508,0,0,,0,0,0,
月城九曜,3340,76636,576,2128,https://www.youtube.com/watch?v=R4NhfIFXa1U,0,0,0,
尹鹿,3330,94992,614,1662,https://www.youtube.com/watch?v=mBneEyynyaI,0,0,0,
東域艾瑞兒,3310,60540,301,1835,https://www.youtube.com/watch?v=Ncv4mZxYe8w,0,0,0,
小小雪,3280,200950,477,3017,https://www.youtube.com/watch?v=n6yl4egRF98,693,82,313,https://www.twitch.tv/videos/1157642169
海老瑠花,3250,43326,1433,7704,https://www.youtube.com/watch?v=JyMLR082sg4,0,0,0,
冬華凜,3200,54543,272,791,https://www.youtube.com/watch?v=IIabMJGT-ZE,0,0,0,
水手緞帶,3080,174610,246,745,https://www.youtube.com/watch?v=OXxBuofjYmc,0,0,0,
仙貝兔兔,3060,222654,281,971,https://www.youtube.com/watch?v=ZwKQ09QxI7Q,570,98,98,https://www.twitch.tv/videos/1153982537
Joyce昕,3030,313563,0,0,,527,77,77,https://www.twitch.tv/videos/1149248883
貓祭,3030,102367,439,1159,https://www.youtube.com/watch?v=1WZQo_nRTxE,6,0,0,
南琳,3020,31071,127,297,https://www.youtube.com/watch?v=zR4l33Iye8k,386,192,249,https://www.twitch.tv/videos/1152347652
