Display Name,YouTube Subscriber Count,YouTube View Count,YouTube Recent Median View Count,YouTube Recent Highest View Count,YouTube Recent Highest Viewed Video URL,Twitch Follower Count,Twitch Recent Median View Count,Twitch Recent Highest View Count,Twitch Recent Highest Viewed Video URL
姬宮優花,6440,139728,304,626,https://www.youtube.com/watch?v=_rBkB9_jjKM,427,0,0,
詠星優宇奈,6390,139071,1197,1778,https://www.youtube.com/watch?v=ULslcP3BLxE,0,0,0,
夏莎莎,6370,82952,374,1209,https://www.youtube.com/watch?v=d8DXUHnRHUs,0,0,0,
吉姆,6360,44504,604,1127,https://www.youtube.com/watch?v=hQb3xmLZdtA,1559,264,1493,https://www.twitch.tv/videos/1154530959
祈霓,6170,89485,542,1060,https://www.youtube.com/watch?v=qqCEhZ92oy8,0,0,0,
綾瑞香,6040,150755,316,2255,https://www.youtube.com/watch?v=39iShnFssBE,312,120,120,https://www.twitch.tv/videos/1155124492
夏日葵,5900,347047,197,278,https://www.youtube.com/watch?v=--gYLwLbXh8,0,0,0,
萊菈‧希格娜斯,5860,133668,562,781,https://www.youtube.com/watch?v=ukJCDIKEseg,0,0,0,
橙米,5740,154503,858,1928,https://www.youtube.com/watch?v=sQZRu04TOHk,0,0,0,
解凍三色豆,5580,181819,800,1617,https://www.youtube.com/watch?v=FEB0AAr-GNI,0,0,0,
阿露比,5510,157308,891,2505,https://www.youtube.com/watch?v=yIw86LaJfLQ,0,0,0,
狐媚娘‧達亞,5490,138173,466,2662,https://www.youtube.com/watch?v=UheZgJ_DW_0,0,0,0,
森森觀月,5170,51711,368,770,https://www.youtube.com/watch?v=QZREPd7I1is,0,0,0,
灰妲,5040,135085,829,3970,https://www.youtube.com/watch?v=5NyjVgHZBlQ,0,0,0,
LMPAPER,4950,425809,265,332,https://www.youtube.com/watch?v=smJbsCr55O4,3068,1022,2036,https://www.twitch.tv/videos/1154013311
夏樹きよし,4940,101136,470,578,https://www.youtube.com/watch?v=eApiqp7JSHs,0,0,0,
Lumina,4940,237608,302,511,https://www.youtube.com/watch?v=bt-L7fqxZuM,0,0,0,
秋月莉莉卡,4920,112631,338,921,https://www.youtube.com/watch?v=r_4noKXE8nQ,0,0,0,
櫻野露,4750,161446,515,1969,https://www.youtube.com/watch?v=PMwZPeDy8f8,0,0,0,
uiru,4720,114709,372,2933,https://www.youtube.com/watch?v=hVtUf6iY7S8,0,0,0,
斜胖,4640,145779,959,2680,https://www.youtube.com/watch?v=qP3tOIGSXN4,0,0,0,
小岩井波波利,4600,142300,656,2139,https://www.youtube.com/watch?v=t5icV3wiyF8,0,0,0,
朱道,4570,167757,1279,2636,https://www.youtube.com/watch?v=Eo9sTDxfPnI,0,0,0,
帕豹,4560,111024,1075,2941,https://www.youtube.com/watch?v=5BjwS28-MHk,0,0,0,
艾黎,4460,101533,338,12991,https://www.youtube.com/watch?v=vhKls4jZRts,82,0,0,
楠橋詩耶,4420,118332,259,951,https://www.youtube.com/watch?v=qzGTY7e-jmA,430,0,0,
布魯斯,4180,79998,505,1252,https://www.youtube.com/watch?v=EKZZIMAuvbw,0,0,0,
蘭希,4170,353791,572,2147,https://www.youtube.com/watch?v=yx9JMD0TCew,0,0,0,
椎南月白,4020,35960,505,6840,https://www.youtube.com/watch?v=xzhy-rGFiCU,0,0,0,
轉生者AJin,3920,56658,534,2391,https://www.youtube.com/watch?v=UZ6o4PCRY3A,0,0,0,
神稻櫻火,3860,0,0,0,,0,0,0,
周默,3790,114906,570,1935,https://www.youtube.com/watch?v=2sy9ezdD0w4,0,0,0,
卡滋可可,3740,125812,234,358,https://www.youtube.com/watch?v=_4OtO1HIe_4,475,0,0,
観空部,3720,189177,389,949,https://www.youtube.com/watch?v=-vmmxK_h3LU,286,0,0,
罷工,3590,111814,91,296,https://www.youtube.com/watch?v=9oIYvxZMW28,0,0,0,
紫映遊月,3580,39690,2236,11737,https://www.youtube.com/watch?v=bPY04Njo9Xg,0,0,0,
星形KARAS,3430,403899,263,784,https://www.youtube.com/watch?v=zGBtsELangs,0,0,0,
西園寺兆兆,3410,87551,290,1189,https://www.youtube.com/watch?v=cigs37JxXlY,44,0,0,
東域艾瑞兒,3280,59376,299,1797,https://www.youtube.com/watch?v=Ncv4mZxYe8w,0,0,0,
尹鹿,3220,91280,699,1648,https://www.youtube.com/watch?v=mBneEyynyaI,0,0,0,
月城九曜,3200,68869,556,2080,https://www.youtube.com/watch?v=R4NhfIFXa1U,0,0,0,
小小雪,3180,191932,507,1621,https://www.youtube.com/watch?v=Yt1BoynhBDc,642,81,214,https://www.twitch.tv/videos/1153204315
冬華凜,3170,53378,277,775,https://www.youtube.com/watch?v=IIabMJGT-ZE,0,0,0,
仙貝兔兔,3040,216418,259,799,https://www.youtube.com/watch?v=aTJg9-BMcz4,566,88,88,https://www.twitch.tv/videos/1153982537
Joyce昕,3030,313416,173,173,https://www.youtube.com/watch?v=yhXHdwlvOTQ,527,75,75,https://www.twitch.tv/videos/1149248883
水手緞帶,3030,172702,252,1252,https://www.youtube.com/watch?v=YpSlvyO7UlA,0,0,0,
南琳,3020,31043,144,296,https://www.youtube.com/watch?v=zR4l33Iye8k,385,174,241,https://www.twitch.tv/videos/1152347652
海老瑠花,3010,36442,1458,7480,https://www.youtube.com/watch?v=JyMLR082sg4,0,0,0,
貓祭,2980,102053,475,1151,https://www.youtube.com/watch?v=1WZQo_nRTxE,6,0,0,
哈提,2970,66594,972,1318,https://www.youtube.com/watch?v=28Ejvw4fw3o,0,0,0,
尤里‧佛瑞斯特,2950,45800,463,674,https://www.youtube.com/watch?v=LbUNMOYeyl4,0,0,0,
鬼塚魅華,2930,30420,196,378,https://www.youtube.com/watch?v=_t2MT-q0BO0,0,0,0,
咩噗りも,2880,1117,1131,1131,https://www.youtube.com/watch?v=9nSMQxL7wQI,0,0,0,
宇佐美みずき,2880,77510,1008,2552,https://www.youtube.com/watch?v=P5Jo8ZnUKNs,0,0,0,
撇嘴耳包前滾翻,2830,145978,482,482,https://www.youtube.com/watch?v=eLMzDsRTld0,0,0,0,
希莉亞,2810,139547,308,1089,https://www.youtube.com/watch?v=YrI32h-zf1w,200,4,4,https://www.twitch.tv/videos/1155004766
明石巴,2780,19793,364,4356,https://www.youtube.com/watch?v=a_I2bmttbEQ,0,0,0,
星眷蕾米,2730,54008,228,516,https://www.youtube.com/watch?v=PBtTVaxCijw,0,0,0,
唄姆拉奇亞,2690,63013,446,1077,https://www.youtube.com/watch?v=R1c1znBftac,0,0,0,
薇妮,2580,73058,635,2393,https://www.youtube.com/watch?v=Mc4qtpY-XVA,0,0,0,
櫻坂くりこ,2510,121692,159,460,https://www.youtube.com/watch?v=Wn7iWv7nhz4,0,0,0,
高維爾,2470,68722,446,736,https://www.youtube.com/watch?v=qp_ac255hS8,0,0,0,
天堂密室,0,121618,910,2958,https://www.youtube.com/watch?v=rCV8HxFf220,0,0,0,
蘋鈴子,0,104830,545,900,https://www.youtube.com/watch?v=LqK7nE72bts,0,0,0,
