VTuber ID,YouTube Subscriber Count,YouTube View Count,YouTube Recent Median View Count,YouTube Recent Highest View Count,YouTube Recent Highest Viewed Video URL,Twitch Follower Count,Twitch Recent Median View Count,Twitch Recent Highest View Count,Twitch Recent Highest Viewed Video URL
f6a4e7aa8d0c4e5cb39d199845ec4d02,352000,23119401,24946,57655,https://www.youtube.com/watch?v=kbVVuEoJ8aI,17862,0,0,
b126053a1356460ebf85a874a6a55aca,103000,28629722,4125,6310,https://www.youtube.com/watch?v=3B_cru_TVYI,0,0,0,
a795a6c9f70d4133907c1c0d2c4c0962,90300,353462,4986,12275,https://www.youtube.com/watch?v=lXIcMIHO4Vg,0,0,0,
5535c9524eb046c38e172ebfa06b302f,76100,8313366,14860,76129,https://www.youtube.com/watch?v=cCFaJNNWh_I,7866,750,9877,https://www.twitch.tv/videos/1124011252
512b64ec20174d018540516e9edf2b2f,52700,3868539,3517,13926,https://www.youtube.com/watch?v=WPqSepgX66Y,1250,0,0,
0bf0ec441dc6489583f7218e02ab6a89,50100,6037618,3634,9988,https://www.youtube.com/watch?v=moYstUsbXsI,0,0,0,
a3ce195c0069494c99849d0b1a10a7fd,49000,1986935,5621,47642,https://www.youtube.com/watch?v=bEqvkwGsYWw,0,0,0,
a0c39da35d0544e0ae94119c5255635b,48300,2259438,7611,29479,https://www.youtube.com/watch?v=BTREnqvp590,0,0,0,
98e3a5838fec4a6caa936ae35485de23,47400,1035491,12614,26874,https://www.youtube.com/watch?v=3UX1jEC75Zc,0,0,0,
dee8efe8990e458c915e4f6a6a16b49f,42100,1737173,8196,14236,https://www.youtube.com/watch?v=db7KcgmWAWI,0,0,0,
e113ace92bbe445385bcc4635a9ca570,42100,1098235,9344,16638,https://www.youtube.com/watch?v=QfbnNIuN2ps,0,0,0,
01f26342ae4e419280bcfd6ec6e86db1,41000,1198362,10467,22684,https://www.youtube.com/watch?v=4NrdEmLRkO8,0,0,0,
c41044006a014ed28107f33221a7de98,38600,1869134,6022,18355,https://www.youtube.com/watch?v=O6n7m7r_ias,0,0,0,
5c4241def363418d9b7167d8369d0350,38200,1331064,1981,3271,https://www.youtube.com/watch?v=r0GSKgqMtDE,20,0,0,
7c06b9e316ce4ac18ce836cd72442bbe,36800,1035913,14089,18943,https://www.youtube.com/watch?v=eLLLO1W1tWQ,0,0,0,
494d2c5daf9f4a8a8e4538687e6be14c,36600,1334719,4378,7684,https://www.youtube.com/watch?v=e3g7L1A19rE,0,0,0,
a02bb0332f5942ec892c932d6a089014,30500,1660517,29979,147599,https://www.youtube.com/watch?v=GJT48bDrYBA,0,0,0,
d81d1032a43642eca36e82ba9a3c39c5,25000,718922,6863,8377,https://www.youtube.com/watch?v=En_EkKr0KoY,5032,858,1498,https://www.twitch.tv/videos/1118047292
3afa3d15ff4a40de9b0950fa81a9ffc7,24700,255069,804,1422,https://www.youtube.com/watch?v=O7__V0SLwas,0,0,0,
22c8ee785f7446e5978bab336fda92cb,24500,90014,1249,2322,https://www.youtube.com/watch?v=Hgqs0nDh3Iw,0,0,0,
5c7beefaa54444e3b0443d7abd93c1f7,23000,1352231,6506,36154,https://www.youtube.com/watch?v=-LIMnwL_oMw,0,0,0,
8a4988902b5640e6ae1829285307c636,22800,574968,7148,12729,https://www.youtube.com/watch?v=ffoAWZSc6ck,0,0,0,
e73551cd98ec47388899522353fc89e3,22200,1604680,691,1339,https://www.youtube.com/watch?v=Tz5YsPJWC6Q,0,0,0,
b08047f2566246ac995e03a5db727cfe,21800,774912,2800,6344,https://www.youtube.com/watch?v=SSDzdZlFbh8,0,0,0,
7cd55e03d87c4c77843a437ec0703670,19400,5047204,4977,14086,https://www.youtube.com/watch?v=2YWHWs7cuss,3248,523,834,https://www.twitch.tv/videos/1114938629
bc0b8c437eda4361b2a10003013f49cf,18900,93744,277,2002,https://www.youtube.com/watch?v=KLWmK4S6bSg,0,0,0,
6fb8c6dea7404638a9d78d4b0d84f64c,18400,859966,3269,11692,https://www.youtube.com/watch?v=7C_8RB1upiA,0,0,0,
94082eb7d950471b934592394ad3e4c8,17600,385984,1397,3214,https://www.youtube.com/watch?v=RQECbe2nxZM,0,0,0,
be6c475c291d45a0a7349abdb70be20d,16600,4051908,4743,19737,https://www.youtube.com/watch?v=8sjGrPoJLkc,0,0,0,
4b6655120fbd4431a8f7894cac4a4d49,13200,304545,1940,5474,https://www.youtube.com/watch?v=EYUFlWNl6NE,0,0,0,
77533b0fb2324e33bff67fbbf4daf13f,12300,2835171,463,1689,https://www.youtube.com/watch?v=hiw-yeeD2hI,1388,21,101,https://www.twitch.tv/videos/1119051452
3be86a2a9cb447f393d235132e157789,12000,336774,2414,7274,https://www.youtube.com/watch?v=9e3UXuvCzu8,0,0,0,
f7c8264349654390a5e39810dc012a38,11400,404022,716,1217,https://www.youtube.com/watch?v=ahVUjw_ZRE8,0,0,0,
b63a5ee44acf4498827a3fd984ab23e0,11300,270064,2060,5740,https://www.youtube.com/watch?v=9bsi6Ff2a-s,0,0,0,
f7c48554816643cdb8d343e6e9e6d313,10800,381116,3909,7502,https://www.youtube.com/watch?v=mqW4UFRg55E,0,0,0,
bed13deb3871443980e131a466519b54,10800,252208,1336,7041,https://www.youtube.com/watch?v=5EifML2gkSQ,0,0,0,
b165ca888a7d4f61b754ac53ca374f11,9530,273164,4208,9415,https://www.youtube.com/watch?v=G1aINjD_TGU,0,0,0,
265a18972d244affae35711cfd1f9931,9380,397832,1804,9009,https://www.youtube.com/watch?v=i2Jt1YIG_6Q,0,0,0,
9e485b7b44e34693ad25bd04be743dbc,8550,212418,3313,5500,https://www.youtube.com/watch?v=3-RxDRg98Bs,0,0,0,
6559d42f66684b8f80b4cd4589addd85,8110,230637,960,1863,https://www.youtube.com/watch?v=4uWMpEjaHZY,0,0,0,
c51f84b3ec9c4501a364a6a4982fa284,8030,101527,664,4027,https://www.youtube.com/watch?v=kdVRhSxeIYA,0,0,0,
00bdfa7c234a47b285152f675d6c650a,7710,1815356,60,113,https://www.youtube.com/watch?v=o7JN54orBpA,0,0,0,
543ddfe1d70d4a19920f6daa1959b3b4,7490,120229,1062,2876,https://www.youtube.com/watch?v=zkeE4Eq9amQ,0,0,0,
0665fb3db61c43b5933f1de118625382,7330,136220,2230,5168,https://www.youtube.com/watch?v=Eb-Qc10ZDto,0,0,0,
3dda133703f64b019d7eea0c5cb55335,7240,268515,804,1824,https://www.youtube.com/watch?v=SO2HqzoVQxI,128,0,0,
9ca368e73d514656ade48dc946f55956,7210,216023,671,1204,https://www.youtube.com/watch?v=4-Xn3bnWu9w,0,0,0,
ea4c1a67c2e445ad8028768616ceb659,6740,216519,1397,2306,https://www.youtube.com/watch?v=txqnXzcLfyc,0,0,0,
9e351b7cdabd45c49c64074bc7d947ce,6650,346667,1953,4287,https://www.youtube.com/watch?v=Jx3gNrXVEus,0,0,0,
13a520e0a60c4aeea42f1c4d613e7e10,6560,148946,1543,3448,https://www.youtube.com/watch?v=8rucPm656PY,373,0,0,
6a30fc9ee6f24d839198497406c63cc1,6530,437149,353,1939,https://www.youtube.com/watch?v=OKn75_6icr8,77,0,0,
78195639f2464c75a84f79d46120e28a,6370,132963,247,359,https://www.youtube.com/watch?v=eUTxqaRAkio,429,0,0,
2a5b6a733ac54aba9490db8f504378d1,6350,183935,1144,1760,https://www.youtube.com/watch?v=nRfaPpEOr7E,1188,153,408,https://www.twitch.tv/videos/1125978681
5ba11a0bf35147d499259ad5608a7de1,6320,174579,1504,2421,https://www.youtube.com/watch?v=8U07xcYgqGU,1866,524,536,https://www.twitch.tv/videos/1121004011
f819220249044c7ca97126c828833c9b,6300,77170,524,1897,https://www.youtube.com/watch?v=TUbaVmeCBgo,0,0,0,
da4a58b114b94469a0a93f6b8ee7512d,6210,136351,794,4240,https://www.youtube.com/watch?v=ooAzISt-eC0,0,0,0,
410a9fff47f5491d98c47a4fa25ddf83,6070,84096,572,661,https://www.youtube.com/watch?v=LhUgYF_Y0yo,0,0,0,
41a8958a1a4a4cc8b404d04da033400e,5960,138053,357,569,https://www.youtube.com/watch?v=bq-eBtkS2sQ,266,0,0,
a20202f0e1b14feb90c5ec173fad0e93,5860,343612,224,345,https://www.youtube.com/watch?v=t03L6tgepqg,0,0,0,
f110fd69b66941bab04de9ada563c6ac,5750,101794,1696,2547,https://www.youtube.com/watch?v=TOuaYqPbP2U,0,0,0,
793e165182584e9aaee5dcc331abbb1e,5610,111376,883,5325,https://www.youtube.com/watch?v=2FVflUHZMBw,0,0,0,
8267ea37c12a471a8a038f501832e099,5540,113136,788,3192,https://www.youtube.com/watch?v=hVXDbjU3_Eg,0,0,0,
67d6807619064938a78832b4106de5c0,5430,128030,2189,7932,https://www.youtube.com/watch?v=flOHcTPjri8,0,0,0,
abc7acc71b474ebebecfde51ad5f88e1,5220,134269,1136,7816,https://www.youtube.com/watch?v=i6MzDMrnw78,0,0,0,
31f17632340f4e7fbd0ced07193dd81b,5160,126012,723,12570,https://www.youtube.com/watch?v=zYT4B93l1nw,0,0,0,
80f41a215cbc487b99f9015de3b58cf0,5120,164365,1723,7877,https://www.youtube.com/watch?v=bFUnWu6hQuU,0,0,0,
51cd04cab0de47d4b2b5a156bbe2dfb0,5080,40707,2529,2684,https://www.youtube.com/watch?v=CsyZfQShi2g,0,0,0,
ed487e7b551f4f3b8124c6acc0966194,5020,237627,578,1625,https://www.youtube.com/watch?v=sBMa4O_ebHg,0,0,0,
fe1146730c9147f98f2b01f45cf242fd,4840,103175,460,2535,https://www.youtube.com/watch?v=XoQch6hrwG0,0,0,0,
