VTuber ID,Video Type,Title,Publish Time,URL,Thumbnail URL
76165d25983b463eaa1da66c86a32b7c,live,【日常】很快就會睡著又起來的夜彩  @yorurovtuber 【靛之森Ainomori】|【夜彩Yoruro】可用7TV貼圖 感謝揪團: @mayko0327 @laozhangmy @story515,2025-05-02T09:35:25Z,https://www.twitch.tv/yorurovtuber,https://static-cdn.jtvnw.net/previews-ttv/live_user_yorurovtuber-{width}x{height}.jpg
2a20316d245d406193331300bb44fdec,live,【加班台Day 24】5/4 我今天有早點起來 !加班 !斗內 !入場券 !旅費 ✞,2025-05-02T12:39:28Z,https://www.twitch.tv/cocoroshiya,https://static-cdn.jtvnw.net/previews-ttv/live_user_cocoroshiya-{width}x{height}.jpg
28a930938667442288010b333937e2ab,live,【焦兒】兄弟們又貼在我後背了🌸350自主訂閱積分衝刺💙魔競娛樂「魔儲」QRCode註冊享優惠| @joerze |!yt !工商 !dc 看台裝7tv,2025-05-03T04:01:17Z,https://www.twitch.tv/joerze,https://static-cdn.jtvnw.net/previews-ttv/live_user_joerze-{width}x{height}.jpg
d613059b356d4cc9b1c3e998f32d1a5a,live,聽音樂聊天懷舊楓之谷,2025-05-03T07:04:49Z,https://www.twitch.tv/kuma7owo,https://static-cdn.jtvnw.net/previews-ttv/live_user_kuma7owo-{width}x{height}.jpg
4071b27c63424e1f9882ebe04a884586,live,✧˖05/03.✧ 今天天氣晴 我想要吃蛋餅 | !情人節 | @snowwolf0627,2025-05-03T08:38:44Z,https://www.twitch.tv/snowwolf0627,https://static-cdn.jtvnw.net/previews-ttv/live_user_snowwolf0627-{width}x{height}.jpg
54e70d7cc2fb4c6da0d833519331c770,live,⋮  5/3 │ 猛獸派對開扁 ft. @linyuan0122 @guru_sheep1220 @kazusa_lulu @molilyqq @samui_gam @sheep_uru  │ !3.0募資 !周邊 │ !委託 !喵喵籤 │ @ting1an_ ^⑉･-･⑉^ ੭,2025-05-03T11:22:08Z,https://www.twitch.tv/ting1an_,https://static-cdn.jtvnw.net/previews-ttv/live_user_ting1an_-{width}x{height}.jpg
26b00f5ff5bf4b5a8dcb6c5c34e1b4f6,live,【認真戒髒話 DAY23】05/02 好睏...但是驢子鎮在呼喚我(´-ωก`) ft.｜!dc !簽到 !愛拉拉 !愛豬豬｜歡迎掛忠誠點數💜｜ @yidhra0727 ｜💖 @mutuer,2025-05-03T12:50:26Z,https://www.twitch.tv/yidhra0727,https://static-cdn.jtvnw.net/previews-ttv/live_user_yidhra0727-{width}x{height}.jpg
5a934764983e45959855735b79bcc90e,live,〖#預見24hr加班接力〗提早開帕！帕魯帕魯！今天也可以影音贊助分享好東西給我看！｜🤖量產型猫飼步歌貳貳機🐱 Fuka22 !吃 !DC !影音贊助 !貳拾貳戒 !魔儲 !點歌 !周邊 !農場,2025-05-03T15:07:55Z,https://www.twitch.tv/nekokaifuka,https://static-cdn.jtvnw.net/previews-ttv/live_user_nekokaifuka-{width}x{height}.jpg
83ec4919298a4ad5984e3da31109a4c8,live,🐈糰┊0504 - 認真上分=v=┊!魔儲┊ @umidan1207,2025-05-03T16:18:55Z,https://www.twitch.tv/umidan1207,https://static-cdn.jtvnw.net/previews-ttv/live_user_umidan1207-{width}x{height}.jpg
7a570b5273ae4e359a6491aba1313011,live,【可洛依】 ✦ 5/4 ✦ 想睡了  大家晚安安  ♡ 拼紫勾歡迎掛台 ♡  | @chloelancemay |,2025-05-03T17:46:53Z,https://www.twitch.tv/chloelancemay,https://static-cdn.jtvnw.net/previews-ttv/live_user_chloelancemay-{width}x{height}.jpg
824c0c36956f4a73bb3ec479dd8e4da8,live,05/04 🌼 -  生日月加班! 陪緋緋玩遊戲中  // 時數告急.. !加班 !抖內 !貼圖 //  @shimizusachiko 【EN/中文】,2025-05-03T20:20:36Z,https://www.twitch.tv/shimizusachiko,https://static-cdn.jtvnw.net/previews-ttv/live_user_shimizusachiko-{width}x{height}.jpg
