VTuber ID,YouTube Subscriber Count,YouTube View Count,YouTube Recent Median View Count,YouTube Recent Popularity,YouTube Recent Highest View Count,YouTube Recent Highest Viewed Video URL,Twitch Follower Count,Twitch Recent Median View Count,Twitch Recent Popularity,Twitch Recent Highest View Count,Twitch Recent Highest Viewed Video URL
e73551cd98ec47388899522353fc89e3,31900,1809388,525,273,1296,https://www.youtube.com/watch?v=0ZTohQntiCY,0,0,0,0,
30114f720b104e7f89d9dc0399a00dd4,31600,0,0,0,0,,0,0,0,0,
b08047f2566246ac995e03a5db727cfe,29900,1390567,753,282,3183,https://www.youtube.com/watch?v=2gVgp6Oqfkg,3955,494,360,1351,https://www.twitch.tv/videos/1638655596
be6c475c291d45a0a7349abdb70be20d,29200,7537806,2952,799,5880,https://www.youtube.com/watch?v=UGfYWbVVSUY,0,0,0,0,
6fb8c6dea7404638a9d78d4b0d84f64c,29000,2012040,2292,1362,4088,https://www.youtube.com/watch?v=m0H13MNb6z8,0,0,0,0,
658e63bebdca421ca934b0bf6aa2bcd8,28600,1342860,3945,1456,9763,https://www.youtube.com/watch?v=y0A5IwdXn2I,13483,0,0,0,
d81d1032a43642eca36e82ba9a3c39c5,28500,942674,1168,477,2285,https://www.youtube.com/watch?v=hkH_LBKLlos,8362,776,578,1116,https://www.twitch.tv/videos/1638721498
3afa3d15ff4a40de9b0950fa81a9ffc7,26800,143439,406,267,645,https://www.youtube.com/watch?v=nUeCb7mozBA,2423,0,0,0,
2ce2f9977d4a4dc0844e518369e11e6b,26800,1511727,2087,1209,3071,https://www.youtube.com/watch?v=_zf3i85KgwY,0,0,0,0,
2741a90689f342548daad7f760b0a8f7,26200,541560,3998,2192,11722,https://www.youtube.com/watch?v=qY2M0ZopCd4,0,0,0,0,
ba59bb31bbcd4cf3a481c4cf72918fb0,26100,2035534,3499,2058,16039,https://www.youtube.com/watch?v=bZ1ZUSn5de0,0,0,0,0,
f5ff982730f54cd4826ff0530a4288c2,25300,626798,2120,1071,5284,https://www.youtube.com/watch?v=SJcGVHm5Zy4,0,0,0,0,
222a91c2efbe47628911ee0b2413ae3e,25000,1733627,0,0,0,,2000,194,119,206,https://www.twitch.tv/videos/1634745839
5c7beefaa54444e3b0443d7abd93c1f7,24800,2152542,1667,635,2344,https://www.youtube.com/watch?v=aXYG6jdXc5g,2233,19,16,78,https://www.twitch.tv/videos/1643133128
