Name,SubscriberCount,ViewCount,MedianViewCount,HighestViewCount
杏仁ミル,313000,17649577,35979,86390
高雄林小姐,104000,27277690,5627,20847
紅月,88300,91829,0,0
鳥羽樂奈,44500,2005764,10117,112906
璐洛洛,39900,3428763,13370,32743
香草奈若,35200,2312088,14160,109623
虎妮,34800,1061097,2659,3579
悠白,31000,758657,8430,124761
兔姬,27300,877117,4871,9530
Asa Ifrit,23600,727884,5602,15605
喵太,21900,519954,5820,34113
Naya,18600,4627596,890,4144
空,18300,1183059,1080,6133
鼠屋栗太,13100,89034,961,2566
諳石,11100,2567765,390,1156
三毛,10800,316972,8149,196756
一介,10700,730306,0,0
夏玥白夜,10700,161638,0,0
灰名,10400,140527,2127,4087
水野魚娜,10200,356681,2623,11063
虛擬熊頭,10100,12944,18210,18210
藤乃熊,9460,40428,328,741
如月ルミィ,8700,182830,3854,6815
平平子,7680,54254,2976,12657
星見遙,6530,169983,1161,2494
蕾兒,6330,120473,1705,2922
風絮,6310,29995,200,475
魔法!,5530,1721489,392,971
TSMATCH火柴,5420,108309,809,1669
いくせん,5200,319187,334,2129
姬宮優花,5090,117201,707,2245
夏日葵,4910,281501,637,1825
LMPAPER,4770,411620,144,494
Lumina,3980,140943,225,307
綾賢ラピス,3860,39782,735,1732
綾瑞香,3450,85229,1383,8403
蝦拉拉,3340,100885,906,2959
楠橋詩耶,3150,88615,379,1504
祈霓,3090,16239,1217,6450
明石巴,3050,15273,194,194
瀰婭,3040,170234,285,785
Joyce昕,3020,301316,160,400
観空部,2940,135480,595,947
邱可,2560,21647,452,3957
櫻野露,2460,62331,442,859
卡滋可可,2420,90611,254,2594
星形KARAS,2370,369625,175,345
奶茶,2340,3683,103,265
撇嘴耳包前滾翻,2320,127817,523,583
櫻坂くりこ,2240,87836,259,391
仙貝兔兔,2170,104682,218,934
蘭希,2140,229136,327,646
Shaya,2090,82483,461,1406
藤本莉子,2080,25782,217,684
墨子,2070,61117,63,66
喵控,1890,30752,146,307
夏莎莎,1890,6667,2173,2851
草莓電波,1850,21122,1733,1733
雨宮夢,1840,39606,174,385
水手緞帶,1780,80385,234,725
ウイル,1780,41840,475,3379
十五號,1780,4314,2262,3515
希爾艾姆,1730,32546,154,494
蛋塔レイ,1730,62606,62,280
西園寺兆兆,1650,29814,254,406
紅茶拿鐵,1630,59782,392,454
南心詠,1580,38216,455,514
狐媚娘‧達亞,1550,24518,379,648
結月,1540,39651,0,0
幽々魅,1510,29970,60,125
小森,1370,8236,1747,2275
鴨鴨山,1240,46924,289,4280
喵朵伊,595,17294,137,582
鴨鴨伊比,251,4245,165,525
