Name,SubscriberCount,ViewCount,MedianViewCount,HighestViewCount
杏仁ミル,308000,17052188,29882,67331
高雄林小姐,104000,27124551,5397,20507
紅月,88500,90257,0,0
鳥羽樂奈,42400,1812436,10837,101956
虛擬熊頭,39000,1126821,8649,140358
璐洛洛,37600,3126680,16497,29957
虎妮,34600,1032545,2085,4158
悠白,28600,688001,8251,121456
香草奈若,28200,1738403,15762,52036
兔姬,26500,842224,7334,16189
Asa Ifrit,22300,649198,5851,48164
Naya,18600,4609697,1150,5504
空,17900,1158110,1075,5955
鼠屋栗太,12700,69846,930,2234
諳石,11000,2548992,390,903
夏玥白夜,10800,160957,0,0
一介,10700,724578,0,0
灰名,10000,153908,1824,3950
水野魚娜,8550,293910,2937,10760
藤乃熊,7490,54456,510,17918
風絮,6320,26064,181,461
蕾兒,5970,105220,2136,3007
魔法!,5490,1710082,187,758
星見遙,5310,143142,1080,2731
TSMATCH火柴,5290,101135,870,1494
いくせん,5090,268606,335,1811
如月ルミィ,4790,113540,2602,5036
LMPAPER,4730,410088,223,385
姬宮優花,4640,109676,850,1239
夏日葵,4510,274749,846,8747
Lumina,3950,139052,272,2089
綾賢ラピス,3720,32891,1110,2719
三毛,3560,29307,6327,12663
蝦拉拉,3250,98358,730,2783
明石巴,3050,15412,0,0
Joyce昕,2990,299135,172,383
楠橋詩耶,2960,85486,519,1470
瀰婭,2900,167254,300,694
観空部,2880,132988,668,1077
卡滋可可,2360,88279,317,2365
綾瑞香,2350,50520,335,7810
星形KARAS,2300,367550,140,627
撇嘴耳包前滾翻,2300,126099,818,21511
櫻野露,2260,55984,502,1074
櫻坂くりこ,2220,83597,244,381
蘭希,2130,201377,457,716
仙貝兔兔,2120,95591,145,299
墨子,2060,60357,220,369
藤本莉子,2060,24283,364,561
Shaya,2010,75123,324,1171
邱可,2000,31308,1158,3198
喵控,1850,51728,177,522
雨宮夢,1800,38058,157,311
草莓電波,1780,18922,361,361
鴨鴨山,805,39000,224,864
喵朵伊,553,14009,155,570
鴨鴨伊比,202,2286,203,764
