Name,SubscriberCount,ViewCount,MedianViewCount,HighestViewCount
杏仁ミル,309000,17172097,26394,76756
高雄林小姐,104000,27192784,5595,20788
紅月,88400,91010,0,0
鳥羽樂奈,43000,1908076,10849,108649
璐洛洛,38500,3253568,14646,31695
虎妮,34700,1046286,1926,3952
悠白,29100,710385,8206,123044
香草奈若,29000,1835392,13441,54549
兔姬,26700,861868,6113,16898
Asa Ifrit,22600,689228,6552,53230
Naya,18600,4616737,1077,5525
空,18000,1175099,1095,6069
鼠屋栗太,13000,78864,977,2470
諳石,11100,2557652,334,1013
一介,10700,726734,0,0
夏玥白夜,10700,161245,0,0
灰名,10200,170471,1905,4031
水野魚娜,8880,313621,2639,10864
藤乃熊,8080,56267,455,2573
風絮,6320,27688,190,466
蕾兒,6070,110719,2111,3062
如月ルミィ,5760,134503,2741,5450
星見遙,5750,154737,1093,2777
魔法!,5500,1714576,242,891
TSMATCH火柴,5350,102537,873,1303
いくせん,5150,316074,327,2072
姬宮優花,4910,113787,826,1932
LMPAPER,4740,410781,145,439
三毛,4730,61254,4642,17847
夏日葵,4560,277131,814,9068
Lumina,3980,139711,284,2125
綾賢ラピス,3790,36609,869,1701
平平子,3650,22912,2795,8578
蝦拉拉,3290,99095,875,2848
明石巴,3060,15170,174,174
楠橋詩耶,3030,87350,451,1486
Joyce昕,3000,300006,174,389
瀰婭,2960,169229,299,758
観空部,2890,134029,798,1087
綾瑞香,2740,54340,1023,11345
卡滋可可,2380,89283,323,2539
櫻野露,2360,57928,490,1083
星形KARAS,2320,368274,128,672
奶茶,2320,3303,139,261
撇嘴耳包前滾翻,2300,127176,528,1565
櫻坂くりこ,2230,85450,239,383
仙貝兔兔,2140,98721,163,325
蘭希,2130,218043,305,770
墨子,2060,60584,36,36
藤本莉子,2060,24933,343,615
邱可,2060,12717,858,1348
Shaya,2050,79226,492,1291
喵控,1860,52926,170,528
草莓電波,1830,20728,985,1474
雨宮夢,1820,38765,273,366
水手緞帶,1760,78497,223,608
蛋塔レイ,1730,72524,67,264
希爾艾姆,1710,32110,169,491
ウイル,1670,38751,495,4724
西園寺兆兆,1630,29394,304,512
紅茶拿鐵,1620,59227,336,375
南心詠,1560,37189,441,594
結月,1530,39509,169,268
狐媚娘‧達亞,1500,21974,430,5732
小森,1110,4205,1474,1474
鴨鴨山,968,40792,252,902
喵朵伊,568,15898,171,576
鴨鴨伊比,220,3493,177,1629
