Name,SubscriberCount,ViewCount,MedianViewCount,HighestViewCount
杏仁ミル,310000,17291840,29857,80426
高雄林小姐,104000,27213793,5414,20798
紅月,88400,91220,0,0
鳥羽樂奈,43500,1947276,10905,110427
璐洛洛,39000,3301600,13238,32277
虎妮,34700,1051989,1927,3967
香草奈若,30900,1975976,13341,60369
悠白,29600,724994,8693,123685
兔姬,26800,870733,5468,17119
Asa Ifrit,22700,705600,6712,55395
Naya,18600,4623807,892,4131
空,18100,1177089,1108,6099
鼠屋栗太,13000,82469,1009,2503
諳石,11100,2560547,370,1075
一介,10700,728176,0,0
夏玥白夜,10700,161396,0,0
灰名,10300,174100,2086,4044
水野魚娜,9390,324697,2777,10937
三毛,9380,257489,7486,165362
藤乃熊,8560,38416,430,1000
如月ルミィ,6600,151054,3022,5657
風絮,6320,28241,192,470
蕾兒,6160,112791,1941,2885
星見遙,5910,161270,1171,2783
魔法!,5510,1716716,251,931
TSMATCH火柴,5390,104319,885,1596
いくせん,5170,317321,342,2093
姬宮優花,4960,115195,738,2063
LMPAPER,4750,411142,146,464
夏日葵,4600,277685,861,9180
Lumina,3980,140241,225,295
平平子,3840,27792,2410,8844
綾賢ラピス,3810,37638,872,1714
蝦拉拉,3300,99396,899,2883
明石巴,3060,15229,210,210
楠橋詩耶,3060,87377,451,1493
綾瑞香,3030,52790,1272,7606
Joyce昕,3000,300501,172,391
瀰婭,2980,169757,300,771
観空部,2910,134133,809,1090
櫻野露,2410,59790,469,1086
卡滋可可,2390,89376,323,2561
星形KARAS,2340,368135,133,387
奶茶,2320,3423,140,261
撇嘴耳包前滾翻,2310,127486,503,1114
櫻坂くりこ,2240,86424,245,385
邱可,2210,14734,463,1223
蘭希,2140,221930,311,790
仙貝兔兔,2140,100375,174,468
藤本莉子,2070,25248,283,647
墨子,2060,60660,34,47
Shaya,2060,80372,493,1349
喵控,1870,29494,163,529
草莓電波,1840,20936,1065,1619
雨宮夢,1820,38826,254,368
水手緞帶,1770,79153,229,699
蛋塔レイ,1730,72631,62,270
希爾艾姆,1730,32311,162,492
ウイル,1710,39801,480,5007
西園寺兆兆,1640,29447,282,521
紅茶拿鐵,1620,59370,358,408
南心詠,1570,37530,450,597
結月,1540,39567,0,0
狐媚娘‧達亞,1520,22874,418,1174
小森,1150,4505,1724,1724
鴨鴨山,1070,42325,262,922
喵朵伊,580,16429,163,577
鴨鴨伊比,233,3647,167,1651
