Name,SubscriberCount,ViewCount,MedianViewCount,HighestViewCount
杏仁ミル,307000,17009985,29741,64471
狗魚,113000,11891325,20770,20770
高雄林小姐,104000,27096321,5580,20043
紅月,88500,89920,0,0
鳥羽樂奈,42000,1767143,10153,85574
虛擬熊頭,38700,1103361,8704,137990
璐洛洛,37300,3084364,16044,29844
虎妮,34600,1029810,2044,4158
悠白,28100,666416,8189,116730
香草奈若,27900,1692497,15801,51510
兔姬,26300,839756,7239,15925
Asa Ifrit,22200,640079,5910,46258
Naya,18600,4604413,1127,5469
空,17800,1151272,1069,5877
鼠屋栗太,12600,66891,866,1835
諳石,11000,2546010,400,878
夏玥白夜,10800,160865,0,0
一介,10700,723366,0,0
灰名,9840,149020,1858,3885
水野魚娜,8460,285499,3027,10711
藤乃熊,7170,53893,505,17840
風絮,6320,25396,181,457
蕾兒,5870,100638,2136,2985
魔法!,5490,1708562,204,714
TSMATCH火柴,5260,100187,905,1492
星見遙,5180,139454,1056,2716
三毛,2230,4943,4975,4975
草莓電波,1770,18888,349,349
鴨鴨山,803,38716,222,853
喵朵伊,543,13793,153,566
鴨鴨伊比,188,1734,173,487
