Name,SubscriberCount,ViewCount,MedianViewCount,HighestViewCount
杏仁ミル,314000,17743222,37118,76456
高雄林小姐,104000,27303011,5438,20877
紅月,88300,92087,0,0
鳥羽樂奈,45000,2060067,9844,114290
璐洛洛,40500,3496104,12818,36421
香草奈若,37100,2536270,15359,121677
虎妮,34800,1068358,2141,3659
悠白,31400,769315,8368,125458
兔姬,27500,882777,4975,9688
Asa Ifrit,24000,744299,5658,15754
喵太,21900,523525,4002,5888
Naya,18600,4629307,840,4149
空,18400,1186575,1055,6147
虛擬熊頭,14100,44341,10592,29426
鼠屋栗太,13100,91463,968,2594
諳石,11100,2570898,406,1190
三毛,11100,330095,7864,201737
一介,10700,731479,0,0
夏玥白夜,10700,161765,0,0
水野魚娜,10600,365353,2797,11117
灰名,10400,144011,1927,4106
藤乃熊,10000,41494,322,714
如月ルミィ,10000,194869,4162,7815
平平子,8370,64351,3256,13228
星見遙,6730,177152,1176,2501
蕾兒,6660,123010,1777,2952
風絮,6320,30606,197,445
魔法!,5530,1723632,447,984
TSMATCH火柴,5440,109854,809,1671
いくせん,5210,320018,307,723
姬宮優花,5150,84056,720,2302
夏日葵,5000,282831,716,1856
LMPAPER,4770,411889,144,507
邱可,4350,32210,972,4495
Lumina,3980,141585,209,309
綾賢ラピス,3880,40619,715,1739
綾瑞香,3610,99453,1490,8765
祈霓,3400,19632,1273,6900
蝦拉拉,3350,101952,809,975
夏莎莎,3200,14118,2470,5057
楠橋詩耶,3190,89347,358,628
瀰婭,3050,170445,288,787
明石巴,3040,15391,171,196
Joyce昕,3020,301684,165,406
観空部,2950,136005,573,714
櫻野露,2500,63418,451,945
卡滋可可,2450,91140,258,2614
星形KARAS,2370,370086,164,371
奶茶,2340,3693,105,265
撇嘴耳包前滾翻,2320,128424,533,611
櫻坂くりこ,2240,88633,255,395
仙貝兔兔,2190,107184,236,1173
蘭希,2150,233256,329,646
十五號,2120,6122,3103,4157
Shaya,2100,84009,381,1445
藤本莉子,2090,25909,213,694
墨子,2070,61409,73,120
喵控,1890,31226,147,307
草莓電波,1850,21216,1774,1774
雨宮夢,1850,40108,165,392
ウイル,1810,43125,385,744
水手緞帶,1790,81105,242,733
希爾艾姆,1740,32722,143,494
蛋塔レイ,1730,62656,60,284
西園寺兆兆,1670,30971,285,445
紅茶拿鐵,1630,60039,334,468
南心詠,1590,38337,393,592
狐媚娘‧達亞,1560,25061,374,651
結月,1550,39718,0,0
小森,1530,8871,1836,2629
幽々魅,1510,30043,61,141
希莉亞,1510,42342,576,1875
凌千歌,1500,37404,212,298
雙命裂,1480,53800,36,128
罐罐,1420,67497,164,295
阿紋,1420,63444,109,313
艾黎,1380,11923,447,1478
煌煌,1370,62390,0,0
天堂島灯粋,1330,18859,0,0
神無月ミハル,1310,28685,242,288
CiCiCi cirycle 的 荒荒荒,1310,74563,105,831
MxM•Mir,1290,40331,101,204
森奈リヤ,1290,21863,156,1528
尤里‧佛瑞斯特,1280,19386,390,613
鴨鴨山,1270,49275,283,4856
喵朵伊,607,17886,139,584
鴨鴨伊比,260,4422,160,264
