Display Name,YouTube Subscriber Count,YouTube View Count,YouTube Recent Median View Count,YouTube Recent Highest View Count,YouTube Recent Highest Viewed Video URL,Twitch Follower Count,Twitch Recent Median View Count,Twitch Recent Highest View Count,Twitch Recent Highest Viewed Video URL
杏仁ミル,330000,20450361,26519,70972,https://www.youtube.com/watch?v=_pZp_fbTyU4,16285,4665,4665,https://www.twitch.tv/videos/1065138716
高雄林小姐,103000,28268345,5558,17711,https://www.youtube.com/watch?v=8SSJR019HlU,0,0,0,
紅月,89300,175041,4645,8119,https://www.youtube.com/watch?v=543LjuvOFZg,0,0,0,
璐洛洛,56300,5806756,10406,54781,https://www.youtube.com/watch?v=je88PzWoWf8,5172,597,2158,https://www.twitch.tv/videos/1061995367
鳥羽樂奈,52100,3630938,4444,8781,https://www.youtube.com/watch?v=Zu5X_XO-9fI,1182,0,0,
香草奈若,47900,5512479,5815,32222,https://www.youtube.com/watch?v=OqUQNmrE61E,0,0,0,
悠白,43800,1503480,9667,54919,https://www.youtube.com/watch?v=ckb9ynyIABk,0,0,0,
泰多貝亞,40300,1260489,12620,21008,https://www.youtube.com/watch?v=99iNcrVfrYk,0,0,0,
灰名,40200,1484995,8585,21106,https://www.youtube.com/watch?v=MramdalrgS0,0,0,0,
露恰露恰,39900,685036,24708,32234,https://www.youtube.com/watch?v=JH351zZ05mA,0,0,0,
虎妮,36500,1240239,2873,6849,https://www.youtube.com/watch?v=ieDSO48nzNU,20,0,0,
Asa Ifrit,34900,1439991,10780,22022,https://www.youtube.com/watch?v=eKkwLjzW_Lo,0,0,0,
平平子,34200,710155,13864,18290,https://www.youtube.com/watch?v=SGkw0JQpdus,0,0,0,
兔姬,33700,1157497,8106,13050,https://www.youtube.com/watch?v=59Dp0pAkNds,0,0,0,
十五號,31500,720535,13278,33042,https://www.youtube.com/watch?v=z1Ma_1dc4dc,0,0,0,
浠Mizuki,26900,555258,30880,101884,https://www.youtube.com/watch?v=0F6l5LX2OfY,0,0,0,
迷子羽根,24900,36540,2064,3522,https://www.youtube.com/watch?v=KM-jg3ibSbA,0,0,0,
喵太,23500,631437,2556,2556,https://www.youtube.com/watch?v=NBJuMEuyzXM,4300,946,1566,https://www.twitch.tv/videos/1071030126
空,21800,1466600,879,10221,https://www.youtube.com/watch?v=EPGUyYy3Qj4,0,0,0,
須多夜花,19700,513647,6108,12307,https://www.youtube.com/watch?v=yd0Ah7gOxwY,0,0,0,
三毛,19100,988166,6249,16086,https://www.youtube.com/watch?v=697V1OxQPiU,0,0,0,
Naya,18900,4816335,2777,10020,https://www.youtube.com/watch?v=J474wVFfuD8,3216,336,519,https://www.twitch.tv/videos/1058917036
藤乃熊,18600,84659,386,1276,https://www.youtube.com/watch?v=LofBMWvBsjk,0,0,0,
歐貝爾,16900,271084,21338,59294,https://www.youtube.com/watch?v=z6N32dMCbpU,0,0,0,
鼠屋栗太,16500,275857,1650,6586,https://www.youtube.com/watch?v=VJHxg1ipdgE,0,0,0,
祈菈‧貝希毛絲,14700,631390,5353,12899,https://www.youtube.com/watch?v=XH5wvw8C0oo,0,0,0,
諳石,11900,2751259,355,1611,https://www.youtube.com/watch?v=z65Mgcoeq_c,1379,21,32,https://www.twitch.tv/videos/1062145225
蘆棠布奈,11100,204844,4243,34596,https://www.youtube.com/watch?v=t4eiddIxoG4,0,0,0,
星見遙,10700,351883,1007,1891,https://www.youtube.com/watch?v=RTr10lzRkME,0,0,0,
貝莉莓Vtype,10400,306436,6183,94380,https://www.youtube.com/watch?v=XhbBxUp0CIU,0,0,0,
