VTuber ID,YouTube Subscriber Count,YouTube View Count,YouTube Thumbnail URL,Twitch Follower Count,Twitch Thumbnail URL
00156e6583fe4923b7a32d8564e3ea4c,1000,27606,https://yt3.ggpht.com/cP6rPYulkcuVvOoICTL5ePVNMhu84ZMLo-1xLRTq0V528f8AhBvqGQa-b_VLcgvdJNWvDfW7=s88-c-k-c0x00ffffff-no-rj,251,https://static-cdn.jtvnw.net/jtv_user_pictures/afd4241f-6abc-45e7-b2c3-fc9e68e396d4-profile_image-300x300.png
007847e77d894f199e1272cf81e02730,,,,698,https://static-cdn.jtvnw.net/jtv_user_pictures/162c2793-8b84-41f1-881f-99f3faedfb87-profile_image-300x300.png
00a208caab334f6daf286ebb92cfd9da,335,6006,https://yt3.ggpht.com/4pybm626dLD2uRKYDXCLTsYuKoGkzyIZ0thq1ttU0EMY7ZLiUtR3_JgOZkfD5niPuzsPZsSs=s88-c-k-c0x00ffffff-no-rj,,
00bdfa7c234a47b285152f675d6c650a,7360,1857635,https://yt3.ggpht.com/Gae9xiUdpOW1TUfk4Dw0F0hC24Jj-HiwGfyAOz_hjF2SRPYpIzAuXVWlxe7gXa5bzFFfXzVjtw=s88-c-k-c0x00ffffff-no-rj,,
00c158176a504c9bb865b32276e79eb1,1440,43472,https://yt3.ggpht.com/6eJU2rqy1vNsEWek0P5nnD8fZHGzUV9H4QZbG0lp6SCVoWwuhHYLAQqFaD3E9_SLPlnNmnXOpA=s88-c-k-c0x00ffffff-no-rj,,
00d9cb7b0bcd451999f4fd33dd84be6c,162,5418,https://yt3.ggpht.com/PTK7f2q4xcOuBDMwSlzwgYAq7-Wg-w0HTjUsLUnQCW81Sv0SrHAFLpXzy842Qv2yaBGqUoK3Bg=s88-c-k-c0x00ffffff-no-rj,2775,https://static-cdn.jtvnw.net/jtv_user_pictures/5cf4d225-9f76-43b5-8fe5-c8dc917f4708-profile_image-300x300.png
00de1290ff0a4edda4db0385a6ba3300,652,17906,https://yt3.ggpht.com/PEqo0VFxk0C2x0UFcMaSuyapL33NMFHzXiq8bTa3pI2DjT7HzGpfTzHglIDO9ir4e6bZ4TX6nSs=s88-c-k-c0x00ffffff-no-rj,1384,https://static-cdn.jtvnw.net/jtv_user_pictures/5b0934ff-5b77-4bbc-bfee-42aa00cff148-profile_image-300x300.png
00ff650864404d0c9ce155ff4a82d804,2410,114252,https://yt3.ggpht.com/gZJjag3o0zcjlcq-_b2FBxBb7p6HCHUdCYtl7us6gF_U4INOC5NQa3adXMAI8C0UN1bcVz_lIQ=s88-c-k-c0x00ffffff-no-rj,,
0134d1ae91784122b79954c2c8571aef,186,0,https://yt3.ggpht.com/eZO6Bll75kFdPX4wdkRSnPMPiyFTMt2qcn4BQWj1WxASGtP18sNj1s3BsQvVozhb6EcgayYywg=s88-c-k-c0x00ffffff-no-rj,417,https://static-cdn.jtvnw.net/jtv_user_pictures/aca493b2-d93c-4526-9d05-8ac2a5a82e77-profile_image-300x300.png
0158495d5a2542a98181c2ddd21b90af,5570,120970,https://yt3.ggpht.com/lzT4u3Ovljb9j3M5lsw2GtxzTHbYMtd453soBVvQmCbbbrrL6WJO2B2AnddbmNXySmhp1paWSA=s88-c-k-c0x00ffffff-no-rj,,
018244f1ad404c9eaa4ddf747c3bafa0,897,99616,https://yt3.ggpht.com/YmssEY_p2u8h32RQf5wF78-fg9vT0mhYsvrX_YFKYaaJkzUFwPtKtuqvpC50FUBiPJqPDoZu=s88-c-k-c0x00ffffff-no-rj,,
01871d8239314affaf7032899ce6502f,1170,269095,https://yt3.ggpht.com/FfZb22b87lqtbAT2IvbOeVOvWoxOWmI3yR4u7REPdcUiGZVVlhG7PNW9ddX6zOwsankPQKND=s88-c-k-c0x00ffffff-no-rj,,
01ba034aab854ec680fe6f1ddc7008e2,1240,51754,https://yt3.ggpht.com/l2BU37FAeMF-dkhX_aMe-S5aaf7uc4rbqdSnJI1MpFjyFG01U8e2vU9tU0t3qRaTTpm_ZujC=s88-c-k-c0x00ffffff-no-rj,,
01bebf0363a94b16b2313053c90a1c8a,148,2533,https://yt3.ggpht.com/7KXj6pCXUnhZA8WXRNmKV_yhlR48BTY_DytQhjP-AVslHCq9VWGokL3MH7EiDFavzTZGKcQE-rc=s88-c-k-c0x00ffffff-no-rj,283,https://static-cdn.jtvnw.net/jtv_user_pictures/e560abda-00e5-44a4-b58a-d6cd7f332a0b-profile_image-300x300.png
01d150623c984f3d8d7de4b1859afadd,466,9043,https://yt3.ggpht.com/D_KwchbvNzUFwOL5uV0oSwKP2iUQPha2hrmZ6Gb5sekssM2U_YgSC3gLJ9_aV7i1ogEvDb_urw=s88-c-k-c0x00ffffff-no-rj,,
01edfa8163ad42cd85f56ef4dce2609e,1590,33352,https://yt3.ggpht.com/z7U7x_Oq93VxvAkaj8-Pn2lh1vLJNSzrYbZvjtUxsM-Uvrab5DRrCDJsKJ2stvsYaTpYIxkwHHA=s88-c-k-c0x00ffffff-no-rj,,
01f26342ae4e419280bcfd6ec6e86db1,80200,5393838,https://yt3.ggpht.com/JHKYRo-pBny7dXibnSRn5dknKrlKnTFCGHH_hyWem7HZuU9mQ8PUhd76MWjEcP7qBTh5L1kkiA=s88-c-k-c0x00ffffff-no-rj,4727,https://static-cdn.jtvnw.net/jtv_user_pictures/f2551089-cd7c-4a8d-910e-bf25584cdc51-profile_image-300x300.png
01fc7842da284adaad67d3774a4b2a6c,531,1069,https://yt3.ggpht.com/GyCLcVQWnq6YMOoPdvB_RS1ZF8iJ95Kg42eZOxATpSwHqIjfmdcA5DN-wZMLKGFq-ngkyVFZww=s88-c-k-c0x00ffffff-no-rj,,
02056e6aaa51485ea4f90eb41a7612cf,23,463,https://yt3.ggpht.com/wzhhkc4-IuZDwb-uXvOOK_157jfP-mMLdbzJhbI3gDXrjJLjy8t1wDQes79_yjqIm7hbBG3vHQ=s88-c-k-c0x00ffffff-no-rj,,
02168475e7ca4234b57d53f495bf3bbc,2180,110858,https://yt3.ggpht.com/ahG4f3y6fU714dTAK8gTHaUpyVi6Qq8JIHiEYoqF0Pf_f-RoRffPz7y1oPwqBx0oDlT3TWx5NA=s88-c-k-c0x00ffffff-no-rj,,
021e4f709f1a4c56b8cd200c476db3e7,865,18404,https://yt3.ggpht.com/i-obLglWh3_Ve03pZhrU--tMKO3OIJssWxlqlJGLlmrt6WE1Wqi3MAIAVwGnf_Ybzph2Auwk=s88-c-k-c0x00ffffff-no-rj,,
0249265256814f61978f6d492fe1c15d,4270,80096,https://yt3.ggpht.com/RyB6f5HsJjVInwLyDZH6iIuVM5OAb1jMWmM9a4GR-T5I0RXDB0G-_-3iCj16gpqcAicAyzSrJw=s88-c-k-c0x00ffffff-no-rj,,
025ce8dccaa4466c80061aa308c378c3,70,2044,https://yt3.ggpht.com/1xVbFtIbgY8xcpuUhUbLex4EWt9kg9D_pJgPFpS_J5f3lOSJHCfUdWBYOE3I6Dh9ZVXtV6DtCus=s88-c-k-c0x00ffffff-no-rj,41,https://static-cdn.jtvnw.net/jtv_user_pictures/4dc71675-784f-4cea-96cb-067c75d01936-profile_image-300x300.png
027dc46502ee4350ba597000191659ae,470,5012,https://yt3.ggpht.com/UVTj5UHZf1YbjHVkZNXTYOv88Trlw-D5qiYEtymR-4D3ntQvgL4cY9HIRRJglIr22OIv2ohgRbs=s88-c-k-c0x00ffffff-no-rj,1,https://static-cdn.jtvnw.net/jtv_user_pictures/d03ebab9-ec20-496f-8c53-dcd1ec2f47c9-profile_image-300x300.png
0294dc5e3fb14312b472bb05af5ad329,854,21264,https://yt3.ggpht.com/zjAxHlCEnxO9n6oy_cF7l0y3k3RBH2KpCs2NyXpve8QrwJZPSrVKRjRcLkvOwWCsJJKpkwzlgQ=s88-c-k-c0x00ffffff-no-rj,,
02cf3719d4f44b7dbedc324ef8b0702e,1060,4015,https://yt3.ggpht.com/e5kJ3DOGTOfy51oHuZeWTCCNy8tAjubA1xECZ-4T8hWFCSK3GQ0bIPTcE2s178hczdgZNVVSsw=s88-c-k-c0x00ffffff-no-rj,,
02e7729df0424fbbb21b77ccd543b0be,2590,134573,https://yt3.ggpht.com/KfgQs7QR8SkrMQOFDiAKqN7F_UP4jSfDif_qGh1ChPBC7HGW8koS2C81e2idmztMGZ5n4rVB5g=s88-c-k-c0x00ffffff-no-rj,,
031da54f73f94adf8159ef0d3bfeb52b,397,29165,https://yt3.ggpht.com/t2tRMJwg6hzWwWywdbgRHcv24PKZri1vDyGwodg0kTVUC_CRnQOnxbSR3KE57e5szJLTnLeLG5M=s88-c-k-c0x00ffffff-no-rj,,
034c0cb04f884faa8f2b6a02ff090ad1,965,0,https://yt3.ggpht.com/AUzYqyYm3E41rAk0NIj44lFHMnJV98hqV5iuJBk0XtUJLnuewSpSn1-9YkQeRqw0SK2dWKgDnA=s88-c-k-c0x00ffffff-no-rj,,
