VTuber ID,YouTube Subscriber Count,YouTube View Count,YouTube Thumbnail URL,Twitch Follower Count,Twitch Thumbnail URL
02056e6aaa51485ea4f90eb41a7612cf,30,851,https://yt3.ggpht.com/2mDxbHXKd8y3gQPch8cWkKTaBP-Twz2QXUGvbpKXVrw8EZvJ8UPmJzv90mPGJH2psVGbzlG6x7w=s88-c-k-c0x00ffffff-no-rj,,
02168475e7ca4234b57d53f495bf3bbc,2270,119149,https://yt3.ggpht.com/ahG4f3y6fU714dTAK8gTHaUpyVi6Qq8JIHiEYoqF0Pf_f-RoRffPz7y1oPwqBx0oDlT3TWx5NA=s88-c-k-c0x00ffffff-no-rj,,
021e4f709f1a4c56b8cd200c476db3e7,973,20466,https://yt3.ggpht.com/i-obLglWh3_Ve03pZhrU--tMKO3OIJssWxlqlJGLlmrt6WE1Wqi3MAIAVwGnf_Ybzph2Auwk=s88-c-k-c0x00ffffff-no-rj,,
0249265256814f61978f6d492fe1c15d,6860,157330,https://yt3.ggpht.com/CL7wl0fqRVELJvTXP0Ltl8HfEDI0wDQWEfvY5s64dAb2Oq--hPbZm1p2LN9DHbGKi3elAFeS0_o=s88-c-k-c0x00ffffff-no-rj,,
025ce8dccaa4466c80061aa308c378c3,69,2219,https://yt3.ggpht.com/1xVbFtIbgY8xcpuUhUbLex4EWt9kg9D_pJgPFpS_J5f3lOSJHCfUdWBYOE3I6Dh9ZVXtV6DtCus=s88-c-k-c0x00ffffff-no-rj,40,https://static-cdn.jtvnw.net/jtv_user_pictures/4dc71675-784f-4cea-96cb-067c75d01936-profile_image-300x300.png
027dc46502ee4350ba597000191659ae,501,5659,https://yt3.ggpht.com/UVTj5UHZf1YbjHVkZNXTYOv88Trlw-D5qiYEtymR-4D3ntQvgL4cY9HIRRJglIr22OIv2ohgRbs=s88-c-k-c0x00ffffff-no-rj,2,https://static-cdn.jtvnw.net/jtv_user_pictures/d03ebab9-ec20-496f-8c53-dcd1ec2f47c9-profile_image-300x300.png
0294dc5e3fb14312b472bb05af5ad329,848,21523,https://yt3.ggpht.com/zjAxHlCEnxO9n6oy_cF7l0y3k3RBH2KpCs2NyXpve8QrwJZPSrVKRjRcLkvOwWCsJJKpkwzlgQ=s88-c-k-c0x00ffffff-no-rj,,
029dfaf0b42a45839661df6dc99efcdd,33200,476844,https://yt3.ggpht.com/2LX-d81RngjLrBxGMfTa1Ojv40MKehms1Foprae1H2bqpH2hj3iOowPfE9026x5OIZl1p8UDOak=s88-c-k-c0x00ffffff-no-rj,293,https://static-cdn.jtvnw.net/jtv_user_pictures/bce7f2e3-f05c-4858-aae7-5506eb30091d-profile_image-300x300.png
02cf3719d4f44b7dbedc324ef8b0702e,2070,25793,https://yt3.ggpht.com/7e87JmXzIrppxJMaBgrgaBt4tiba-9n4NGzWv7CnDZEZHH-rXKEyvNZNcXm_Xn2KNsLl7_Jq=s88-c-k-c0x00ffffff-no-rj,,
02d67d58d59644be9cdf0b1179419637,20200,243311,https://yt3.ggpht.com/GF2z0DTdMoIRf6cnd3gsyGrTA-HyVsiZHC07NtuH0rmU5B-laKabEngmmyeYdTDmVnJ-LpGfKA=s88-c-k-c0x00ffffff-no-rj,690,https://static-cdn.jtvnw.net/jtv_user_pictures/d76c4b4b-7a72-43d6-83ad-b6f504516e39-profile_image-300x300.png
02e7729df0424fbbb21b77ccd543b0be,2630,153790,https://yt3.ggpht.com/oCMddKcS5wjMf8cuP0h8nftwUFn_dtD-demdV0noBVkeM8v-ihY7wya8yw2L52mQYv23E_rcHA=s88-c-k-c0x00ffffff-no-rj,,
030de4222329412d9beafbe24a584d0b,,,,11,https://static-cdn.jtvnw.net/jtv_user_pictures/6ae810a8-d9a1-4e3c-9eee-b1fdf2fafa0c-profile_image-300x300.png
031da54f73f94adf8159ef0d3bfeb52b,430,33439,https://yt3.ggpht.com/t2tRMJwg6hzWwWywdbgRHcv24PKZri1vDyGwodg0kTVUC_CRnQOnxbSR3KE57e5szJLTnLeLG5M=s88-c-k-c0x00ffffff-no-rj,,
034c0cb04f884faa8f2b6a02ff090ad1,898,0,https://yt3.ggpht.com/AUzYqyYm3E41rAk0NIj44lFHMnJV98hqV5iuJBk0XtUJLnuewSpSn1-9YkQeRqw0SK2dWKgDnA=s88-c-k-c0x00ffffff-no-rj,,
