Display Name,YouTube Subscriber Count,YouTube View Count,YouTube Recent Median View Count,YouTube Recent Highest View Count,YouTube Recent Highest Viewed Video URL,Twitch Follower Count,Twitch Recent Median View Count,Twitch Recent Highest View Count,Twitch Recent Highest Viewed Video URL
杏仁ミル,364000,24925902,19468,33155,https://www.youtube.com/watch?v=mOe7NqjZXiU,20198,4027,4027,https://www.twitch.tv/videos/1183688850
李李鈴蘭,110000,4019078,48947,128443,https://www.youtube.com/watch?v=_jk_WXu7HrI,0,0,0,
高雄林小姐,103000,29062548,4154,8108,https://www.youtube.com/watch?v=9eouVB8VxmU,0,0,0,
璐洛洛,94600,11356928,7471,94116,https://www.youtube.com/watch?v=ly8MMG4ahJg,9730,1738,3424,https://www.twitch.tv/videos/1179237257
浠Mizuki,83300,3373233,22679,102477,https://www.youtube.com/watch?v=3uclMILBoGY,0,0,0,
灰名,53300,2857300,5796,10298,https://www.youtube.com/watch?v=xKkxWL1_DFM,0,0,0,
露恰露恰,53300,1391529,6448,14978,https://www.youtube.com/watch?v=s4WrF-Sx3YE,0,0,0,
悠白,53300,2268356,5723,13871,https://www.youtube.com/watch?v=60WDTzQQ_ZY,0,0,0,
鳥羽樂奈,52600,4089164,1567,3210,https://www.youtube.com/watch?v=8tDqLiSOOyk,1225,0,0,
香草奈若,50000,6384714,2434,19256,https://www.youtube.com/watch?v=M38BUzUBx_k,0,0,0,
十五號,47100,1702691,6932,22720,https://www.youtube.com/watch?v=nkQY9sYw_lA,0,0,0,
平平子,45700,1415338,6242,9980,https://www.youtube.com/watch?v=Qn758qFMSC4,0,0,0,
泰多貝亞,42000,2008959,3810,11238,https://www.youtube.com/watch?v=h0AFcJxYLtM,0,0,0,
虎妮,40100,1424021,1719,7485,https://www.youtube.com/watch?v=zChJSZL-n0E,21,0,0,
Asa Ifrit,39800,2171175,4253,10067,https://www.youtube.com/watch?v=5t2DfGtGBNc,0,0,0,
兔姬,38900,1491990,3607,16942,https://www.youtube.com/watch?v=nyh3eyUc5nU,0,0,0,
貝莉莓Vtype,38500,2353668,10319,27294,https://www.youtube.com/watch?v=XqJouCmZtbc,0,0,0,
歐貝爾,26000,794467,4129,6707,https://www.youtube.com/watch?v=fpIgdoRkXZo,0,0,0,
喵太,25600,777453,1933,2443,https://www.youtube.com/watch?v=rzw9iG3X354,5444,828,966,https://www.twitch.tv/videos/1178013140
醬油Joyu,25000,307314,610,974,https://www.youtube.com/watch?v=RrrR28lwbWA,0,0,0,
迷子羽根,24400,152730,1008,2553,https://www.youtube.com/watch?v=rN30a6qRVTU,0,0,0,
三毛,23700,1515518,2455,6393,https://www.youtube.com/watch?v=CsdFSxjuLLE,0,0,0,
須多夜花,22900,921429,1368,4794,https://www.youtube.com/watch?v=3ppuT32qumc,0,0,0,
空,22600,1659364,553,2975,https://www.youtube.com/watch?v=41071xwsxbk,0,0,0,
語風薯薯與愛紗公主,22300,11517223,3326,7860,https://www.youtube.com/watch?v=BkGXheGZTxA,0,0,0,
祈菈‧貝希毛絲,20700,1104228,2928,8290,https://www.youtube.com/watch?v=5OPFNtlTcf0,0,0,0,
Naya,19500,5151129,1043,4817,https://www.youtube.com/watch?v=crF9FaHKncY,3252,0,0,
藤乃熊,19300,117865,293,418,https://www.youtube.com/watch?v=bDYs6Z6bmmo,0,0,0,
Yu,18500,4696530,817,30993,https://www.youtube.com/watch?v=rR6njkyX-CE,0,0,0,
鼠屋栗太,18000,446709,767,1804,https://www.youtube.com/watch?v=VP1og1a2TLo,0,0,0,
洛可洛斯特,16900,581255,3927,112878,https://www.youtube.com/watch?v=qbRyzJ1-Dtg,0,0,0,
希靈,15800,483216,1851,6975,https://www.youtube.com/watch?v=i7-TYk6BAy4,0,0,0,
瑪格麗特．溫特斯,15300,327496,4996,7396,https://www.youtube.com/watch?v=2EGGKRhWwUU,0,0,0,
塔芭絲可,14300,612900,2181,7434,https://www.youtube.com/watch?v=n6tmOwNqRyA,0,0,0,
銀鈴‧希爾貝露,13500,383164,811,3731,https://www.youtube.com/watch?v=QzvKtVaNjoY,0,0,0,
蕾兒,13100,420227,1973,5289,https://www.youtube.com/watch?v=cD4rupmaAYM,0,0,0,
Aoi Hinamori,12700,313794,2760,7201,https://www.youtube.com/watch?v=OQ104yp0fBc,0,0,0,
