V5##VTuber ID,YouTube Subscriber Count,YouTube View Count,YouTube Recent Total Median View Count,YouTube Recent Total Popularity,YouTube Recent Total Highest View Count,YouTube Recent Total Highest Viewed URL,YouTube Recent Livestream Median View Count,YouTube Recent Livestream Popularity,YouTube Recent Livestream Highest View Count,YouTube Recent Livestream Highest Viewed URL,YouTube Recent Video Median View Count,YouTube Recent Video Popularity,YouTube Recent Video Highest View Count,YouTube Recent Video Highest Viewed URL,Twitch Follower Count,Twitch Recent Median View Count,Twitch Recent Popularity,Twitch Recent Highest View Count,Twitch Recent Highest Viewed URL
1c5619a4ece046dd8ba68ed343489ca3,547000,105546430,28458,9244,136344,https://www.youtube.com/watch?v=t90uNY0G7x0,3929,3014,4138,https://www.youtube.com/watch?v=EPek-yxVU2E,38244,9693,136344,https://www.youtube.com/watch?v=t90uNY0G7x0,32872,0,0,0,
f6a4e7aa8d0c4e5cb39d199845ec4d02,445000,67686775,45224,20518,199678,https://www.youtube.com/watch?v=2JN6tOgjxTw,7040,4340,7040,https://www.youtube.com/watch?v=0X8YXsNSZXU,57881,21367,199678,https://www.youtube.com/watch?v=2JN6tOgjxTw,123944,19039,11841,176235,https://www.twitch.tv/videos/2834244743
5535c9524eb046c38e172ebfa06b302f,403000,137237514,10001,4057,103903,https://www.youtube.com/watch?v=OdCO--WQMys,9216,3355,103903,https://www.youtube.com/watch?v=OdCO--WQMys,13702,7769,65689,https://www.youtube.com/watch?v=xgDzvWqE_70,74433,1156,550,4214,https://www.twitch.tv/videos/2835230654
664e1b310cf343b78623f99b31e40fae,394000,57652424,0,0,0,,0,0,0,,0,0,0,,16989,0,0,0,
d837e8fda137492c9d77882b98ff863a,370000,204774380,34272,13434,521631,https://www.youtube.com/watch?v=_H5sWn8sSfI,14863,4734,26522,https://www.youtube.com/watch?v=fFQweerpx2Q,282430,78688,521631,https://www.youtube.com/watch?v=_H5sWn8sSfI,61863,13015,5944,71883,https://www.twitch.tv/videos/2838587939
182da09d8d454f37a52ec546cbb35e39,339000,89693728,34313,12861,422818,https://www.youtube.com/watch?v=WBQEK1W4g_Q,10654,5936,30719,https://www.youtube.com/watch?v=afVFQPq7hek,45167,21034,422818,https://www.youtube.com/watch?v=WBQEK1W4g_Q,5966,0,0,0,
c04f006e69e04000a68cd0c41f888eb2,243000,23666753,26561,8411,251566,https://www.youtube.com/watch?v=SUcw80zDGc4,10575,5454,36249,https://www.youtube.com/watch?v=rfVQsP4l7JU,57584,29378,251566,https://www.youtube.com/watch?v=SUcw80zDGc4,0,0,0,0,
897400f2658a483286ca6acc927006ca,239000,40005478,6353,1540,28532,https://www.youtube.com/watch?v=2zkASCvd8dY,1452,685,2123,https://www.youtube.com/watch?v=TJqgiNLvA0I,12793,3785,28532,https://www.youtube.com/watch?v=2zkASCvd8dY,10720,0,0,0,
abd64c9a64e04fb1b23faa2480c1c106,229000,79767031,5435,2016,29446,https://www.youtube.com/watch?v=K5eJB7jDENM,6065,4257,10519,https://www.youtube.com/watch?v=t816mjFPC5Q,5435,2016,29446,https://www.youtube.com/watch?v=K5eJB7jDENM,2374,73,69,90,https://www.twitch.tv/videos/2855754975
4b6b055ada4d4f0ab63b7ad02a3fa3ef,225000,19225973,1200,727,7853,https://www.youtube.com/watch?v=xakO8bZvbac,1123,528,2384,https://www.youtube.com/watch?v=wtRof7duyvI,5013,2170,7853,https://www.youtube.com/watch?v=xakO8bZvbac,55824,734,444,870,https://www.twitch.tv/videos/2832751443
a9f6574e98f34b20a05269134930fb50,221000,10748407,5933,2862,93780,https://www.youtube.com/watch?v=BN_a3KIrmwU,6359,2787,12678,https://www.youtube.com/watch?v=YkAar1mX8RM,5276,3192,93780,https://www.youtube.com/watch?v=BN_a3KIrmwU,0,0,0,0,
7c06b9e316ce4ac18ce836cd72442bbe,206000,66856603,4673,1874,21303,https://www.youtube.com/watch?v=P0cv_osObU0,3767,1826,9598,https://www.youtube.com/watch?v=fsphqxdOaKU,5798,1897,21303,https://www.youtube.com/watch?v=P0cv_osObU0,56206,0,0,0,
312fdd3c5e6d4aefa73fd3860ecc5613,192000,37058993,12336,4761,25366,https://www.youtube.com/watch?v=iIVzXZA1ibs,13106,5654,15356,https://www.youtube.com/watch?v=m0AypZ_piJk,7230,4614,25366,https://www.youtube.com/watch?v=iIVzXZA1ibs,27342,11028,8272,140595,https://www.twitch.tv/videos/2840434470
