Name,SubscriberCount,ViewCount,MedianViewCount,HighestViewCount,HighestViewedVideoURL
鬼鬼,809000,253015929,17258,136295,https://www.youtube.com/watch?v=X4ul5iQNmt4
杏仁ミル,315000,17886247,38185,79324,https://www.youtube.com/watch?v=Aub9OExS65o
高雄林小姐,104000,27366726,5308,12509,https://www.youtube.com/watch?v=1fKbpLdgcq4
紅月,88200,92724,0,0,
鳥羽樂奈,46000,2205625,10078,118710,https://www.youtube.com/watch?v=uKjQ9dt-o2U
璐洛洛,41300,3631187,10249,38855,https://www.youtube.com/watch?v=VV4mCRruDQE
香草奈若,39200,2915824,17027,132564,https://www.youtube.com/watch?v=KkmDmsruADg
虎妮,34800,1075879,2189,3734,https://www.youtube.com/watch?v=fmv5LHNStgc
悠白,32100,792345,7387,14688,https://www.youtube.com/watch?v=GND-peHk1X4
兔姬,27800,892787,5112,9884,https://www.youtube.com/watch?v=Xa0KuVZ8R4c
Asa Ifrit,24400,771343,5388,12194,https://www.youtube.com/watch?v=8aRq-sPUV2A
喵太,22000,531642,1633,4123,https://www.youtube.com/watch?v=lcVphhWRgS0
虛擬熊頭,20000,110666,11170,38169,https://www.youtube.com/watch?v=gGEpLAatY1Q
空,18700,1198940,1112,3911,https://www.youtube.com/watch?v=YG9YTUDP_X0
Naya,18600,4634793,783,4169,https://www.youtube.com/watch?v=hL2K9C00Xm0
鼠屋栗太,13300,99262,951,2671,https://www.youtube.com/watch?v=UsEvOYoe1zM
如月ルミィ,11800,248031,5461,10634,https://www.youtube.com/watch?v=cT0Qo0VtEK0
三毛,11500,348304,6503,206564,https://www.youtube.com/watch?v=6w_OBgAqGx0
諳石,11100,2581158,339,1128,https://www.youtube.com/watch?v=-P07VF_ujP0
藤乃熊,11100,43986,330,737,https://www.youtube.com/watch?v=hTMsDGQefRk
水野魚娜,11000,389950,2634,5959,https://www.youtube.com/watch?v=NGhoNQlEQrY
一介,10700,734562,0,0,
夏玥白夜,10700,162116,0,0,
灰名,10500,151864,1892,4146,https://www.youtube.com/watch?v=lPnZ-NTLo8I
平平子,9140,82279,3687,13837,https://www.youtube.com/watch?v=648CcpKzpJs
星見遙,7220,192530,1147,2520,https://www.youtube.com/watch?v=TIva5UO7Ub8
蕾兒,7220,131931,1854,2412,https://www.youtube.com/watch?v=9RrqhOnk1ms
風絮,6350,32360,186,430,https://www.youtube.com/watch?v=xQ457hEIPoY
魔法!,5530,1727645,387,706,https://www.youtube.com/watch?v=b8YrgL8dIio
TSMATCH火柴,5470,112604,737,1692,https://www.youtube.com/watch?v=gG_PLQKUHzQ
いくせん,5250,323232,330,500,https://www.youtube.com/watch?v=whpYTSL_WoE
姬宮優花,5210,85336,779,2363,https://www.youtube.com/watch?v=qp9gnXNPhZU
夏日葵,5110,286945,811,1880,https://www.youtube.com/watch?v=V3fv5fWTQyA
邱可,4950,40008,964,4754,https://www.youtube.com/watch?v=WOTJy-LDPqs
LMPAPER,4780,412685,113,529,https://www.youtube.com/watch?v=BKa7tFmHimI
Lumina,4110,144391,250,522,https://www.youtube.com/watch?v=hc_-S0n4qok
綾賢ラピス,3940,42355,673,1581,https://www.youtube.com/watch?v=Qf9wfh5WgHY
綾瑞香,3870,86325,1414,9393,https://www.youtube.com/watch?v=6klBhezSKlo
十五號,3850,28537,3503,10038,https://www.youtube.com/watch?v=oKBlaZAbjB4
夏莎莎,3740,21476,2530,5734,https://www.youtube.com/watch?v=QM2JsaYln8o
