Name,SubscriberCount,ViewCount,MedianViewCount,HighestViewCount
杏仁ミル,315000,17788644,36686,76823
高雄林小姐,104000,27311486,5501,20889
紅月,88300,92188,0,0
鳥羽樂奈,45100,2070824,10011,114648
璐洛洛,40600,3523007,13241,36999
香草奈若,37600,2610755,15472,123163
虎妮,34800,1069136,2195,3667
悠白,31600,772773,8448,125628
兔姬,27500,883536,4961,9717
Asa Ifrit,24000,746448,5771,15795
喵太,21900,524796,4014,5897
Naya,18600,4629865,791,4152
空,18500,1187755,1059,6148
虛擬熊頭,16600,60438,11679,32529
鼠屋栗太,13100,92384,957,2597
諳石,11100,2572105,391,1200
三毛,11100,331827,7930,202574
一介,10700,731884,0,0
夏玥白夜,10700,161821,0,0
水野魚娜,10600,367041,2689,9633
灰名,10400,144914,1901,4114
如月ルミィ,10400,203931,4271,8695
藤乃熊,10100,41591,320,717
平平子,8530,68718,3397,13353
星見遙,6820,179225,1170,2502
蕾兒,6700,123625,1826,2955
風絮,6330,30849,192,445
魔法!,5530,1724150,496,986
TSMATCH火柴,5440,110001,809,1673
いくせん,5210,320380,307,724
姬宮優花,5170,84255,725,2309
夏日葵,5020,283405,648,1861
LMPAPER,4770,411974,146,512
邱可,4530,34510,980,4597
Lumina,3990,141770,215,309
綾賢ラピス,3890,40712,716,1740
綾瑞香,3670,67277,1493,8882
祈霓,3440,20156,1291,6965
夏莎莎,3420,16032,2484,5280
蝦拉拉,3360,102599,730,979
楠橋詩耶,3200,89403,358,629
瀰婭,3060,170502,303,789
明石巴,3040,15396,173,196
Joyce昕,3030,301861,164,406
観空部,2950,136616,608,717
櫻野露,2510,63847,448,953
卡滋可可,2450,91311,258,2616
南琳,2420,14639,126,603
星形KARAS,2380,370215,168,379
奶茶,2340,3705,107,265
撇嘴耳包前滾翻,2320,128141,533,618
櫻坂くりこ,2250,88816,252,396
仙貝兔兔,2190,108216,244,1184
蘭希,2150,234759,331,646
十五號,2150,6344,3225,4277
Shaya,2100,84361,351,1449
藤本莉子,2090,26112,195,698
墨子,2070,61447,73,128
喵控,1900,31432,145,309
草莓電波,1850,21237,1789,1789
雨宮夢,1840,40406,183,394
ウイル,1820,43326,395,747
水手緞帶,1800,81270,237,734
希爾艾姆,1740,32745,143,494
蛋塔レイ,1730,62672,60,285
西園寺兆兆,1670,31163,292,452
紅茶拿鐵,1630,60096,338,473
南心詠,1590,38369,334,598
狐媚娘‧達亞,1560,25367,361,652
小森,1560,9057,1892,2669
結月,1550,39740,0,0
希莉亞,1520,43192,577,2083
幽々魅,1520,30072,57,143
凌千歌,1500,37541,213,301
雙命裂,1480,53853,50,162
罐罐,1420,67730,158,296
阿紋,1420,63461,102,313
艾黎,1400,12544,446,922
煌煌,1360,62513,0,0
詠星優宇奈,1360,13506,570,1122
雨恩,1340,400318,140,248
天堂島灯粋,1340,18878,0,0
神無月ミハル,1320,28718,243,288
CiCiCi cirycle 的 荒荒荒,1310,74856,100,608
MxM•Mir,1290,40426,101,208
尤里‧佛瑞斯特,1290,19691,378,616
森奈リヤ,1280,21884,156,1531
鴨鴨山,1280,49837,291,4929
喵朵伊,607,18051,139,584
鴨鴨伊比,261,4460,163,269
