Name,SubscriberCount,ViewCount,MedianViewCount,HighestViewCount
杏仁ミル,314000,17706551,35944,75696
高雄林小姐,104000,27287864,5914,20864
紅月,88300,91930,0,0
鳥羽樂奈,44800,2019022,9743,113590
璐洛洛,40200,3446067,11743,34509
香草奈若,36000,2370890,15505,117497
虎妮,34800,1063458,2054,3608
悠白,31200,761534,8029,125130
兔姬,27400,877751,4961,9593
Asa Ifrit,23800,744000,5297,15672
喵太,21900,520870,5850,34586
Naya,18600,4628174,888,4144
空,18300,1184373,1059,6143
鼠屋栗太,13100,90167,963,2577
虛擬熊頭,12500,22380,25418,25418
諳石,11100,2568949,399,1172
三毛,11000,320013,8327,199569
一介,10700,730664,0,0
夏玥白夜,10700,161691,0,0
灰名,10400,142069,1977,4101
水野魚娜,10400,358803,2735,11092
藤乃熊,9710,40736,330,710
如月ルミィ,9390,184391,3985,7325
平平子,8130,57566,2890,13022
星見遙,6650,172689,1169,2500
蕾兒,6450,121433,1712,2932
風絮,6320,30173,201,445
魔法!,5530,1722442,446,980
TSMATCH火柴,5430,109076,810,1670
いくせん,5200,319449,335,2136
姬宮優花,5120,117540,716,2273
夏日葵,4970,281700,634,1842
LMPAPER,4770,411735,139,501
Lumina,3980,141197,217,308
綾賢ラピス,3860,41107,732,1737
綾瑞香,3580,91245,1466,8560
邱可,3550,21983,686,4079
蝦拉拉,3350,101097,864,2967
祈霓,3300,17969,1300,6729
楠橋詩耶,3160,88946,377,1509
明石巴,3050,15378,167,195
瀰婭,3050,170287,281,785
Joyce昕,3020,301553,165,401
観空部,2950,135506,485,698
夏莎莎,2900,9979,2298,4484
櫻野露,2470,62472,442,924
卡滋可可,2430,90656,255,2602
星形KARAS,2370,369753,162,361
奶茶,2340,3682,104,265
撇嘴耳包前滾翻,2320,128242,529,590
櫻坂くりこ,2240,88076,258,392
仙貝兔兔,2180,105486,233,1088
蘭希,2150,230735,329,646
Shaya,2090,83066,399,1437
藤本莉子,2090,25833,208,688
墨子,2070,61156,69,81
十五號,2020,5197,2821,3918
喵控,1890,31009,147,307
草莓電波,1850,21144,1752,1752
雨宮夢,1850,39682,138,386
ウイル,1800,42650,400,739
水手緞帶,1790,80623,236,730
希爾艾姆,1740,32684,143,494
蛋塔レイ,1730,62611,62,282
西園寺兆兆,1660,30465,269,409
紅茶拿鐵,1630,59824,396,460
南心詠,1580,38249,453,554
狐媚娘‧達亞,1550,24591,378,650
結月,1540,39672,0,0
幽々魅,1510,30007,61,136
小森,1460,8365,1783,2525
鴨鴨山,1270,47890,253,4629
喵朵伊,606,17553,139,584
鴨鴨伊比,256,4331,160,528
