Name,SubscriberCount,ViewCount,MedianViewCount,HighestViewCount
鬼鬼,809000,252668722,16331,131352
杏仁ミル,315000,17810632,36780,77221
高雄林小姐,104000,27321225,5499,20894
紅月,88300,92272,0,0
鳥羽樂奈,45300,2080673,9939,115092
璐洛洛,40800,3541858,12984,37546
香草奈若,38000,2695745,15910,125214
虎妮,34800,1071153,2047,3682
悠白,31700,776019,8535,125853
兔姬,27600,884178,4978,9756
Asa Ifrit,24100,752453,5905,15869
喵太,21900,525997,4053,5913
Naya,18600,4630541,782,4155
空,18500,1189168,1063,6161
虛擬熊頭,17700,73729,11597,34537
鼠屋栗太,13200,93987,945,2601
三毛,11200,336297,7322,203702
諳石,11100,2573346,267,1059
一介,10700,732367,0,0
水野魚娜,10700,372302,2690,9640
夏玥白夜,10700,161874,0,0
如月ルミィ,10700,213737,4363,9405
灰名,10400,146664,1900,4121
藤乃熊,10300,41960,322,725
平平子,8720,74160,3690,13482
星見遙,6910,181242,1141,2507
蕾兒,6770,125699,1846,2961
風絮,6330,31277,192,445
魔法!,5530,1724787,589,989
TSMATCH火柴,5450,110115,732,1676
いくせん,5220,320772,311,725
姬宮優花,5180,84417,740,2317
夏日葵,5050,283648,647,1867
LMPAPER,4780,412045,146,516
邱可,4680,35808,994,4642
Lumina,4090,142519,269,313
綾賢ラピス,3900,40785,691,1564
綾瑞香,3730,71201,1519,9035
夏莎莎,3570,17266,2568,5437
祈霓,3530,22313,1309,7071
蝦拉拉,3370,102938,755,981
楠橋詩耶,3210,89448,343,630
瀰婭,3070,170571,348,793
明石巴,3040,15401,170,197
Joyce昕,3030,301917,165,407
観空部,2950,136895,582,724
櫻野露,2540,64327,446,964
卡滋可可,2470,91596,253,2631
南琳,2430,14974,128,608
星形KARAS,2380,370419,156,386
奶茶,2350,3784,102,265
撇嘴耳包前滾翻,2320,128189,535,628
櫻坂くりこ,2250,89029,253,396
十五號,2210,6553,3332,4398
仙貝兔兔,2190,109358,260,1075
蘭希,2150,249596,338,345
Shaya,2100,84660,353,1457
藤本莉子,2090,26228,203,711
墨子,2070,61499,74,130
喵控,1900,31647,144,309
雨宮夢,1850,40465,183,394
草莓電波,1850,21259,1809,1809
ウイル,1830,44017,400,750
水手緞帶,1800,81330,240,735
希爾艾姆,1740,32842,144,497
蛋塔レイ,1730,62700,60,285
西園寺兆兆,1680,31233,279,463
紅茶拿鐵,1640,60149,343,479
南心詠,1590,38391,334,606
小森,1590,9620,1775,2695
狐媚娘‧達亞,1570,25847,345,652
結月,1550,39761,0,0
希莉亞,1520,43715,570,2156
幽々魅,1520,30098,57,144
凌千歌,1500,37585,214,301
雙命裂,1490,58148,60,180
罐罐,1430,67845,164,296
阿紋,1420,63485,103,314
艾黎,1420,12693,450,927
煌煌,1370,62651,0,0
詠星優宇奈,1370,13760,592,1135
雨恩,1350,400594,142,248
天堂島灯粋,1330,18910,0,0
CiCiCi cirycle 的 荒荒荒,1320,75187,103,609
神無月ミハル,1320,28746,211,271
莉莉絲‧伊芙莉登,1310,21429,718,5575
斜胖,1310,22306,551,1440
桐櫻,1300,1378,0,0
尤里‧佛瑞斯特,1300,19846,381,617
MxM•Mir,1290,40456,101,208
鴨鴨山,1290,50042,292,4991
森奈リヤ,1280,21915,156,1541
神夜奈央,1240,28317,129,238
周默,1240,26789,262,339
喵比,1230,57416,156,256
阿露比,1180,19701,443,833
花原蜜子,1140,12599,209,557
黛亞門,1140,632,115,115
龍妹,1130,27244,131,144
喵尾,1080,13985,0,0
草鈴,1060,13368,163,474
緋尹夜,1050,74443,116,679
七海千草,1050,6645,143,175
隠岐スダマ,1040,192626,91,178
夜見愛夢,993,7327,363,652
喵朵伊,607,18189,140,585
鴨鴨伊比,271,4480,163,270
