Name,SubscriberCount,ViewCount,MedianViewCount,HighestViewCount
杏仁ミル,314000,17743222,37089,76301
高雄林小姐,104000,27292774,5279,20875
紅月,88300,92087,0,0
鳥羽樂奈,44900,2060067,9784,114189
璐洛洛,40400,3496104,11758,36115
香草奈若,37000,2536270,15292,121094
虎妮,34800,1068358,2091,3650
悠白,31400,769315,8370,125390
兔姬,27500,882777,4969,9678
Asa Ifrit,23900,744299,5623,15744
喵太,21900,523525,3994,5882
Naya,18600,4629307,890,4147
空,18400,1185298,1067,6146
虛擬熊頭,13800,44341,10317,28830
鼠屋栗太,13100,91463,969,2592
諳石,11100,2570898,406,1186
三毛,11100,330095,7853,201512
一介,10700,731479,0,0
夏玥白夜,10700,161765,0,0
水野魚娜,10500,365353,2770,11115
灰名,10400,144011,1926,4106
藤乃熊,9950,41494,325,714
如月ルミィ,9940,194869,4143,7713
平平子,8330,64351,3251,13200
星見遙,6720,177152,1174,2500
蕾兒,6650,123010,1765,2949
風絮,6320,30268,197,445
魔法!,5530,1723632,447,984
TSMATCH火柴,5440,109202,809,1671
いくせん,5210,320018,318,2146
姬宮優花,5150,84056,715,2297
夏日葵,4990,282587,700,1855
LMPAPER,4770,411825,143,505
邱可,4220,32210,938,4468
Lumina,3980,141585,207,309
綾賢ラピス,3880,40619,716,1738
綾瑞香,3600,99453,1486,8737
祈霓,3380,19632,1266,6887
蝦拉拉,3350,101952,807,975
楠橋詩耶,3190,89012,358,628
夏莎莎,3170,12548,2451,5000
瀰婭,3050,170445,293,787
明石巴,3040,15388,170,195
Joyce昕,3020,301616,163,406
観空部,2950,136005,524,713
櫻野露,2500,63418,451,943
卡滋可可,2440,91019,258,2613
星形KARAS,2370,370086,164,368
奶茶,2340,3693,105,265
撇嘴耳包前滾翻,2320,128012,532,607
櫻坂くりこ,2240,88633,255,395
仙貝兔兔,2190,107184,235,1169
蘭希,2150,231851,329,646
Shaya,2100,84009,381,1442
十五號,2100,5702,3081,4133
藤本莉子,2090,25866,213,692
墨子,2070,61409,73,116
喵控,1890,31226,147,307
草莓電波,1850,21165,1771,1771
雨宮夢,1850,39997,163,388
ウイル,1810,43125,383,743
水手緞帶,1790,81105,237,733
希爾艾姆,1740,32709,143,494
蛋塔レイ,1730,62632,60,283
西園寺兆兆,1670,30971,277,439
紅茶拿鐵,1630,60039,334,466
南心詠,1590,38337,393,587
狐媚娘‧達亞,1560,25061,373,651
結月,1550,39718,0,0
小森,1530,8871,1818,2615
幽々魅,1510,30026,61,141
凌千歌,1500,37404,210,297
希莉亞,1500,42342,669,1716
雙命裂,1480,53739,36,128
罐罐,1420,67420,164,295
阿紋,1420,63444,109,313
煌煌,1370,62247,0,0
艾黎,1360,11923,447,1474
天堂島灯粋,1330,18859,0,0
神無月ミハル,1310,28685,241,288
CiCiCi cirycle 的 荒荒荒,1310,74013,104,829
MxM•Mir,1290,40331,97,204
森奈リヤ,1290,21863,156,1527
尤里‧佛瑞斯特,1280,19280,388,613
鴨鴨山,1270,48650,284,4825
喵朵伊,607,17716,139,584
鴨鴨伊比,257,4422,159,262
