Name,SubscriberCount,ViewCount,MedianViewCount,HighestViewCount
杏仁ミル,314000,17723907,35972,75891
高雄林小姐,104000,27292774,5670,20867
紅月,88300,92010,0,0
鳥羽樂奈,44800,2040088,9811,113788
璐洛洛,40200,3464979,11829,35120
香草奈若,36200,2435366,15512,119350
虎妮,34800,1065811,2090,3618
悠白,31300,763803,8156,125200
兔姬,27400,880609,4941,9634
Asa Ifrit,23900,741058,5475,15700
喵太,21900,521728,4915,5866
Naya,18600,4628743,890,4146
空,18300,1185298,1068,6143
鼠屋栗太,13100,90486,966,2583
虛擬熊頭,12900,32129,17883,26748
諳石,11100,2569812,401,1178
三毛,11000,322426,8375,200315
一介,10700,731008,0,0
夏玥白夜,10700,161722,0,0
灰名,10400,143433,1983,4103
水野魚娜,10400,361056,2737,11098
藤乃熊,9800,41113,328,710
如月ルミィ,9510,191694,4028,7459
平平子,8180,61996,3211,13089
星見遙,6660,175165,1174,2500
蕾兒,6570,122018,1719,2939
風絮,6320,30268,201,445
魔法!,5530,1723022,446,982
TSMATCH火柴,5440,109202,810,1670
いくせん,5200,319724,328,2139
姬宮優花,5130,83827,717,2276
夏日葵,4980,282587,662,1846
LMPAPER,4770,411825,140,502
Lumina,3980,141318,220,308
綾賢ラピス,3870,40284,716,1737
邱可,3830,25825,769,4271
綾瑞香,3580,96709,1476,8629
蝦拉拉,3350,101705,872,2975
祈霓,3340,18638,1316,6797
楠橋詩耶,3180,89012,375,919
明石巴,3050,15388,168,195
瀰婭,3040,170370,287,787
夏莎莎,3040,12548,2381,4733
Joyce昕,3020,301616,165,402
観空部,2940,135558,486,702
櫻野露,2480,63209,445,944
卡滋可可,2430,91019,255,2603
星形KARAS,2370,369966,163,363
奶茶,2340,3692,104,265
撇嘴耳包前滾翻,2320,128012,529,597
櫻坂くりこ,2240,88266,263,395
仙貝兔兔,2180,106337,233,1121
蘭希,2150,231851,329,646
Shaya,2090,83433,404,1442
藤本莉子,2090,25866,208,689
墨子,2070,61311,72,98
十五號,2040,5702,2927,3996
喵控,1890,31063,147,307
草莓電波,1850,21165,1758,1758
雨宮夢,1850,39997,160,386
ウイル,1800,42845,402,742
水手緞帶,1790,80845,238,732
希爾艾姆,1740,32709,143,494
蛋塔レイ,1730,62632,62,282
西園寺兆兆,1660,30613,270,420
紅茶拿鐵,1630,59938,334,464
南心詠,1580,38301,453,571
狐媚娘‧達亞,1550,24934,378,651
結月,1540,39680,0,0
幽々魅,1510,30026,61,137
小森,1480,8679,1796,2589
鴨鴨山,1270,48650,266,4716
喵朵伊,607,17716,139,584
鴨鴨伊比,257,4331,152,258
